Game,Flavor Text
ruby,"NINJASK moves around at such a high speed that it cannot be seen, even while its crying can be clearly heard. For that reason, this POKéMON was long believed to be invisible."
sapphire,"If NINJASK is not trained properly, it will refuse to obey the TRAINER and cry loudly continuously. Because of this quality, this POKéMON is said to be one that puts the TRAINER’s abilities to the test."
emerald,"Because it darts about vigorously at high speed, it is very difficult to see. Hearing its distinctive cries for too long induces a headache."
firered,"This POKéMON is so quick, it is said to be able to avoid any attack. It loves to feed on tree sap."
leafgreen,"This POKéMON is so quick, it is said to be able to avoid any attack. It loves to feed on tree sap."
diamond,"Because it moves so quickly, it sometimes becomes unseeable. It congregates around tree sap."
pearl,"Because it moves so quickly, it sometimes becomes unseeable. It congregates around tree sap."
platinum,"Because it moves so quickly, it sometimes becomes unseeable. It congregates around tree sap."
heartgold,Its cry leaves a lasting headache if heard for too long. It moves so quickly that it is almost invisible.
soulsilver,Its cry leaves a lasting headache if heard for too long. It moves so quickly that it is almost invisible.
black,"Because it moves so quickly, it sometimes becomes unseeable. It congregates around tree sap."
white,"Because it moves so quickly, it sometimes becomes unseeable. It congregates around tree sap."
black-2,"Because it moves so quickly, it sometimes becomes unseeable. It congregates around tree sap."
white-2,"Because it moves so quickly, it sometimes becomes unseeable. It congregates around tree sap."
x,Its cry leaves a lasting headache if heard for too long. It moves so quickly that it is almost invisible.
y,"Because it moves so quickly, it sometimes becomes unseeable. It congregates around tree sap."
omega-ruby,"Ninjask moves around at such a high speed that it cannot be seen, even while its crying can be clearly heard. For that reason, this Pokémon was long believed to be invisible."
alpha-sapphire,"If Ninjask is not trained properly, it will refuse to obey the Trainer and cry loudly continuously. Because of this quality, this Pokémon is said to be one that puts the Trainer’s abilities to the test."
sword,Its cry leaves a lasting headache if heard for too long. It moves so quickly that it is almost invisible.
shield,"This Pokémon is so quick, it is said to be able to avoid any attack. It loves to feed on tree sap."
