Game,Flavor Text
black,"Litwick shines a light that absorbs the life energy of people and Pokémon, which becomes the fuel that it burns."
white,"While shining a light and pretending to be a guide, it leeches off the life force of any who follow it."
black-2,"Its flame is usually out, but it starts shining when it absorbs life force from people or Pokémon."
white-2,"Its flame is usually out, but it starts shining when it absorbs life force from people or Pokémon."
x,"While shining a light and pretending to be a guide, it leeches off the life force of any who follow it."
y,"Litwick shines a light that absorbs the life energy of people and Pokémon, which becomes the fuel that it burns."
omega-ruby,"While shining a light and pretending to be a guide, it leeches off the life force of any who follow it."
alpha-sapphire,"Litwick shines a light that absorbs the life energy of people and Pokémon, which becomes the fuel that it burns."
sword,The flame on its head keeps its body slightly warm. This Pokémon takes lost children by the hand to guide them to the spirit world.
shield,"The younger the life this Pokémon absorbs, the brighter and eerier the flame on its head burns."
