Game,Flavor Text
x,"From its beak, it expels embers that set the tall grass on fire. Then it pounces on the bewildered prey that pop out of the grass."
y,"The hotter the flame sac on its belly, the faster it can fly, but it takes some time to get the fire going."
omega-ruby,"From its beak, it expels embers that set the tall grass on fire. Then it pounces on the bewildered prey that pop out of the grass."
alpha-sapphire,"The hotter the flame sac on its belly, the faster it can fly, but it takes some time to get the fire going."
sun,"From its beak, it fires embers at its prey. Once it has caught them, it grills them at high heat before feasting upon them."
moon,"It will not tolerate other Fletchinder entering its territory, which has a radius of several miles."
ultra-sun,"It scatters embers in the tall grass. Then bug Pokémon, frightened by the flames, come flying out, and Fletchinder gobbles them up."
ultra-moon,Its speed right after takeoff already puts it in the top speed class of all bird Pokémon.
sword,"Fletchinder launches embers into the den of its prey. When the prey comes leaping out, Fletchinder’s sharp talons finish it off."
shield,Fletchinder are exceedingly territorial and aggressive. These Pokémon fight among themselves over feeding grounds.
