Game,Flavor Text
gold,The BERRIES it stores in its vase-like shell decompose and become a gooey liquid.
silver,"It stores BERRIES inside its shell. To avoid attacks, it hides beneath rocks and remains completely still."
crystal,The fluid secreted by its toes carves holes in rocks for nesting and can be mixed with BERRIES to make a drink.
ruby,"SHUCKLE quietly hides itself under rocks, keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice."
sapphire,"SHUCKLE quietly hides itself under rocks, keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice."
emerald,"A SHUCKLE hides under rocks, keeping its body concealed inside its shell while eating stored berries. The berries mix with its body fluids to become a juice."
firered,"It stores BERRIES inside its shell. To avoid attacks, it hides beneath rocks and remains completely still."
leafgreen,The BERRIES it stores in its vaselike shell decompose and become a gooey liquid.
diamond,It stores berries in its shell. The berries eventually ferment to become delicious juices.
pearl,It stores berries in its shell. The berries eventually ferment to become delicious juices.
platinum,It stores berries in its shell. The berries eventually ferment to become delicious juices.
heartgold,The berries it stores in its vase-like shell decompose and become a gooey liquid.
soulsilver,"It stores berries inside its shell. To avoid attacks, it hides beneath rocks and remains completely still."
black,It stores berries in its shell. The berries eventually ferment to become delicious juices.
white,It stores berries in its shell. The berries eventually ferment to become delicious juices.
black-2,"The berries stored in its vaselike shell eventually become a thick, pulpy juice."
white-2,"The berries stored in its vaselike shell eventually become a thick, pulpy juice."
x,"The berries stored in its jar-like shell eventually become a thick, pulpy juice."
y,"It stores berries inside its shell. To avoid attacks, it hides beneath rocks and remains completely still."
omega-ruby,"Shuckle quietly hides itself under rocks, keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice."
alpha-sapphire,"Shuckle quietly hides itself under rocks, keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice."
sword,"It stores berries inside its shell. To avoid attacks, it hides beneath rocks and remains completely still."
shield,"The berries stored in its vaselike shell eventually become a thick, pulpy juice."
