Game,Flavor Text
red,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.
blue,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.
yellow,Its tongue spans almost 7 feet and moves more freely than its forelegs. Its licks can cause paralysis.
gold,"Its tongue has well-developed nerves that run to the very tip, so it can be deft­ ly manipulated."
silver,"Its long tongue, slathered with a gooey saliva, sticks to any­ thing, so it is very useful."
crystal,It has a tongue that is over 6’6’’ long. It uses this long tongue to lick its body clean.
ruby,"Whenever LICKITUNG comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things."
sapphire,"Whenever LICKITUNG comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things."
emerald,"Whenever it sees something unfamiliar, it always licks the object because it memorizes things by texture and taste. It is somewhat put off by sour things."
firered,Its tongue is twice the length of its body. It can be moved like an arm for grabbing food and attacking.
leafgreen,Its tongue can be extended like a chameleon’s. It leaves a tingling sensation when it licks enemies.
diamond,"Instead of hands, it uses its tongue, which is twice its height. Its sticky saliva grips anything."
pearl,"Instead of hands, it uses its tongue, which is twice its height. Its sticky saliva grips anything."
platinum,"When it extends its over-six-foot- long tongue, its tail quivers. There is a possibility they are connected."
heartgold,"Its tongue has well-developed nerves that run to the very tip, so it can be deftly manipulated."
soulsilver,"Its long tongue, slathered with a gooey saliva, sticks to anything, so it is very useful."
black,"When it extends its over-six-foot- long tongue, its tail quivers. There is a possibility they are connected."
white,"When it extends its over-six-foot- long tongue, its tail quivers. There is a possibility they are connected."
black-2,"Being licked by its long, saliva-covered tongue leaves a tingling sensation. Extending its tongue retracts its tail."
white-2,"Being licked by its long, saliva-covered tongue leaves a tingling sensation. Extending its tongue retracts its tail."
x,"Its long tongue, slathered with a gooey saliva, sticks to anything, so it is very useful."
y,Its tongue is twice the length of its body. It can be moved like an arm for grabbing food and attacking.
omega-ruby,"Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things."
alpha-sapphire,"Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things."
ultra-sun,"It checks out whatever’s around it by licking everything. If you don’t clean off a spot where it’s licked you, you’ll break out in a rash!"
ultra-moon,"It licks filth clean with its tongue. Whatever it licks always stinks afterward, so whether it’s really clean is...questionable."
lets-go-pikachu,Its tongue spans almost seven feet and moves more freely than its forelegs. Its licks can cause paralysis.
lets-go-eevee,Its tongue spans almost seven feet and moves more freely than its forelegs. Its licks can cause paralysis.
sword,"If this Pokémon’s sticky saliva gets on you and you don’t clean it off, an intense itch will set in. The itch won’t go away, either."
shield,"Bug Pokémon are Lickitung’s main food source. This Pokémon paralyzes its prey with a lick from its long tongue, then swallows the prey whole."
legends-arceus,"Wields its long tongue deftly, as though it were an arm. The Pokémon's viscous saliva, once it has been collected and boiled down, yields a strong and highly useful adhesive."
