Game,Flavor Text
diamond,It ensnares prey by extending arms made of vines. Losing arms to predators does not trouble it.
pearl,It ensnares prey by extending arms made of vines. Losing arms to predators does not trouble it.
platinum,Its arms are made of plants that bind themselves to things. They grow back right away if cut.
heartgold,"When it remains still, it appears to be a large shrub. Unsuspecting prey that wander near get ensnared by its vines."
soulsilver,"Its vines grow so profusely that, in the warm season, you can’t even see its eyes."
black,Its arms are made of plants that bind themselves to things. They grow back right away if cut.
white,Its arms are made of plants that bind themselves to things. They grow back right away if cut.
black-2,"Even if one of its arms is eaten, it’s fine. The Pokémon regenerates quickly and will go right back to normal."
white-2,"Even if one of its arms is eaten, it’s fine. The Pokémon regenerates quickly and will go right back to normal."
x,It ensnares prey by extending arms made of vines. Losing arms to predators does not trouble it.
y,"Its vines grow so profusely that, in the warm season, you can’t even see its eyes."
omega-ruby,It ensnares prey by extending arms made of vines. Losing arms to predators does not trouble it.
alpha-sapphire,"Its vines grow so profusely that, in the warm season, you can’t even see its eyes."
sword,"Tangrowth has two arms that it can extend as it pleases. Recent research has shown that these arms are, in fact, bundles of vines."
shield,"Vine growth is accelerated for Tangrowth living in warm climates. If the vines grow long, Tangrowth shortens them by tearing parts of them off."
legends-arceus,"Draped with long vines, it resembles a shrub in appearance. It swings bundles of vines as though they were arms, wrapping them around prey to ensnare them."
