Game,Flavor Text
black,The sound of Sawk punching boulders and trees can be heard all the way from the mountains where they train.
white,Tying their belts gets them pumped and makes their punches more destructive. Disturbing their training angers them.
black-2,"Desiring the strongest karate chop, they seclude themselves in mountains and train without sleeping."
white-2,"Desiring the strongest karate chop, they seclude themselves in mountains and train without sleeping."
x,"Desiring the strongest karate chop, they seclude themselves in mountains and train without sleeping."
y,Tying their belts gets them pumped and makes their punches more destructive. Disturbing their training angers them.
omega-ruby,"Desiring the strongest karate chop, they seclude themselves in mountains and train without sleeping."
alpha-sapphire,Tying their belts gets them pumped and makes their punches more destructive. Disturbing their training angers them.
sword,"If you see a Sawk training in the mountains in its single-minded pursuit of strength, it’s best to quietly pass by."
shield,The karate chops of a Sawk that’s trained itself to the limit can cleave the ocean itself.
