Game,Flavor Text
red,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.
blue,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.
yellow,The direction of the spiral on the belly differs by area. It is more adept at swimming than walking.
gold,"Because it is in­ ept at walking on its newly grown legs, it always  swims around in water."
silver,The direction of its belly spiral differs by area. The equator is thought to have an effect on this.
crystal,The swirl on its belly is its insides showing through the skin. It looks clearer after it eats.
ruby,"POLIWAG has a very thin skin. It is possible to see the POKéMON’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it."
sapphire,"POLIWAG has a very thin skin. It is possible to see the POKéMON’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it."
emerald,"It is possible to see this POKéMON’s spiral innards right through its thin skin. However, the skin is also very flexible. Even sharp fangs bounce right off it."
firered,Its slick black skin is thin and damp. A part of its internal organs can be seen through the skin as a spiral pattern.
leafgreen,Its newly grown legs prevent it from walking well. It appears to prefer swimming over walking.
diamond,"Its skin is so thin, its internal organs are visible. It has trouble walking on its newly grown feet."
pearl,"Its skin is so thin, its internal organs are visible. It has trouble walking on its newly grown feet."
platinum,"Its skin is so thin, its internal organs are visible. It has trouble walking on its newly grown feet."
heartgold,"Because it is inept at walking on its newly grown legs, it always  swims around in water."
soulsilver,The direction of its belly spiral differs by area. The equator is thought to have an effect on this.
black,"Its skin is so thin, its internal organs are visible. It has trouble walking on its newly grown feet."
white,"Its skin is so thin, its internal organs are visible. It has trouble walking on its newly grown feet."
black-2,"Its skin is so thin, its internal organs are visible. It has trouble walking on its newly grown feet."
white-2,"Its skin is so thin, its internal organs are visible. It has trouble walking on its newly grown feet."
x,Its slick black skin is thin and damp. A part of its internal organs can be seen through the skin as a spiral pattern.
y,The direction of the spiral on the belly differs by area. It is more adept at swimming than walking.
omega-ruby,"Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it."
alpha-sapphire,"Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it."
sun,"The swirl on its belly is its internal organs showing through. If the swirl is tinged white, that means it’s affected by some disease."
moon,It’s still not very good at walking. Its Trainers should train this Pokémon to walk every day.
ultra-sun,"Despite the danger, it wants to come up on land. So it does its best to waddle along, but when an enemy finds it, it rushes back to the water."
ultra-moon,The direction of the swirl on their stomachs differs depending on where they live. Poliwag aficionados can tell them apart at a glance.
lets-go-pikachu,The direction of the spiral on the belly differs by area. It is more adept at swimming than walking.
lets-go-eevee,The direction of the spiral on the belly differs by area. It is more adept at swimming than walking.
sword,"For Poliwag, swimming is easier than walking. The swirl pattern on its belly is actually part of the Pokémon’s innards showing through the skin."
shield,"In rivers with fast-flowing water, this Pokémon will cling to a rock by using its thick lips, which act like a suction cup."
