Game,Flavor Text
ruby,"WYNAUT can always be seen with a big, happy smile on its face. Look at its tail to determine if it is angry. When angered, this POKéMON will be slapping the ground with its tail."
sapphire,"WYNAUT gather on moonlit nights to play by squeezing up against each other. By being squeezed, this POKéMON gains endurance and is trained to dole out powerful counterattacks."
emerald,"A WYNAUT loves to eat sweet fruits. It cleverly picks fruits using its earlike arms. They gather in fruit gardens, drawn by the fragrance."
firered,It tends to move in a pack with others. They cluster in a tight group to sleep in a cave.
leafgreen,It tends to move in a pack with others. They cluster in a tight group to sleep in a cave.
diamond,It grows strong by pushing up against others en masse. It loves eating sweet fruit.
pearl,It grows strong by pushing up against others en masse. It loves eating sweet fruit.
platinum,It grows strong by pushing up against others en masse. It loves eating sweet fruit.
heartgold,It tends to move in a pack. Individuals squash against one another to toughen their spirits.
soulsilver,It tends to move in a pack. Individuals squash against one another to toughen their spirits.
black,It grows strong by pushing up against others en masse. It loves eating sweet fruit.
white,It grows strong by pushing up against others en masse. It loves eating sweet fruit.
black-2,It grows strong by pushing up against others en masse. It loves eating sweet fruit.
white-2,It grows strong by pushing up against others en masse. It loves eating sweet fruit.
x,It tends to move in a pack with others. They cluster in a tight group to sleep in a cave.
y,It grows strong by pushing up against others en masse. It loves eating sweet fruit.
omega-ruby,"Wynaut can always be seen with a big, happy smile on its face. Look at its tail to determine if it is angry. When angered, this Pokémon will be slapping the ground with its tail."
alpha-sapphire,"Wynaut gather on moonlit nights to play by squeezing up against each other. By being squeezed, this Pokémon gains endurance and is trained to dole out powerful counterattacks."
sword,It tends to move in a pack. Individuals squash against one another to toughen their spirits.
shield,It tends to move in a pack with others. They cluster in a tight group to sleep in a cave.
