Game,Flavor Text
ruby,"TRAPINCH’s nest is a sloped, bowl-like pit dug in sand. This POKéMON patiently waits for prey to tumble down the pit. Its giant jaws have enough strength to crush even boulders."
sapphire,TRAPINCH is a patient hunter. It digs an inescapable pit in a desert and waits for its prey to come tumbling down. This POKéMON can go a whole week without access to any water.
emerald,"Its big jaws crunch through boulders. Because its head is so big, it has a hard time getting back upright if it tips over onto its back."
firered,It lives in arid deserts. It makes a sloping pit trap in sand where it patiently awaits prey.
leafgreen,It lives in arid deserts. It makes a sloping pit trap in sand where it patiently awaits prey.
diamond,It makes a conical pit in desert sand and lies in wait at the bottom for prey to come tumbling down.
pearl,It makes a conical pit in desert sand and lies in wait at the bottom for prey to come tumbling down.
platinum,It makes a conical pit in desert sand and lies in wait at the bottom for prey to come tumbling down.
heartgold,"Its nest is a sloped, bowl-like pit in the desert. Once something has fallen in, there is no escape."
soulsilver,"Its nest is a sloped, bowl-like pit in the desert. Once something has fallen in, there is no escape."
black,It makes a conical pit in desert sand and lies in wait at the bottom for prey to come tumbling down.
white,It makes a conical pit in desert sand and lies in wait at the bottom for prey to come tumbling down.
black-2,It makes an inescapable conical pit and lies in wait at the bottom for prey to come tumbling down.
white-2,It makes an inescapable conical pit and lies in wait at the bottom for prey to come tumbling down.
x,It lives in arid deserts. It makes a sloping pit trap in sand where it patiently awaits prey.
y,It makes an inescapable conical pit and lies in wait at the bottom for prey to come tumbling down.
omega-ruby,"Trapinch’s nest is a sloped, bowl-like pit dug in sand. This Pokémon patiently waits for prey to tumble down the pit. Its giant jaws have enough strength to crush even boulders."
alpha-sapphire,Trapinch is a patient hunter. It digs an inescapable pit in a desert and waits for its prey to come tumbling down. This Pokémon can go a whole week without access to any water.
sun,It can live for a week without eating a thing. It waits patiently at the bottom of its nest for prey to appear.
moon,"As it digs through the sand, its giant jaws crush any rocks that obstruct its path. It builds a funnel-shaped nest."
ultra-sun,Its jaws are strong enough to crush rocks but so heavy that it can’t get up if it flips over. Sandile seize those moments as their chance.
ultra-moon,"It builds nests that double as traps, lying in wait for its prey to get caught. When night falls, it digs itself a spot beneath the sand to sleep."
sword,"Its nest is a sloped, bowl-like pit in the desert. Once something has fallen in, there is no escape."
shield,It makes an inescapable conical pit and lies in wait at the bottom for prey to come tumbling down.
