Game,Flavor Text
black,No two Spinda have the same pattern of spots. Its tottering step fouls the aim of foes.
ruby,"All the SPINDA that exist in the world are said to have utterly unique spot patterns. The shaky, tottering steps of this POKéMON give it the appearance of dancing."
sapphire,No two SPINDA are said to have identical spot patterns on their hides. This POKéMON moves in a curious manner as if it is stumbling in dizziness. Its lurching movements can cause the opponent to become confused.
emerald,"It is distinguished by a pattern of spots that is always different. Its unsteady, tottering walk has the effect of fouling its foe’s aim."
firered,No two SPINDA are said to have identical patterns. It confuses foes with its stumbling motions.
leafgreen,No two SPINDA are said to have identical patterns. It confuses foes with its stumbling motions.
diamond,No two SPINDA have the same pattern of spots. Its tottering step fouls the aim of foes.
pearl,No two SPINDA have the same pattern of spots. Its tottering step fouls the aim of foes.
platinum,No two SPINDA have the same pattern of spots. Its tottering step fouls the aim of foes.
heartgold,The chances of two SPINDA having identical spot patterns is less than one in four billion.
soulsilver,The chances of two SPINDA having identical spot patterns is less than one in four billion.
white,No two Spinda have the same pattern of spots. Its tottering step fouls the aim of foes.
black-2,No two Spinda have the same pattern of spots. Its tottering step fouls the aim of foes.
white-2,No two Spinda have the same pattern of spots. Its tottering step fouls the aim of foes.
x,No two Spinda have the same pattern of spots. Its tottering step fouls the aim of foes.
y,The chances of two Spinda having identical spot patterns is less than one in four billion.
omega-ruby,"All the Spinda that exist in the world are said to have utterly unique spot patterns. The shaky, tottering steps of this Pokémon give it the appearance of dancing."
alpha-sapphire,No two Spinda are said to have identical spot patterns on their hides. This Pokémon moves in a curious manner as if it is stumbling in dizziness. Its lurching movements can cause the opponent to become confused.
sun,"Its steps are staggering and unsteady, but Spinda thinks it’s walking in a straight line."
moon,Each and every Spinda has a slightly different configuration of spots. There are collectors who enjoy the tiny differences in their spot patterns.
ultra-sun,Its steps are shaky and stumbling. Walking for a long time makes it feel sick.
ultra-moon,"Each Spinda’s spot pattern is different. With its stumbling movements, it evades opponents’ attacks brilliantly!"
