Game,Flavor Text
black,Starry skies thousands of light-years away are visible in the space distorted by their intense psychic power.
white,They can predict the future from the placement and movement of the stars. They can see Trainers’ life spans.
black-2,"It can see the future from the movement of the stars. When it learns its Trainer’s life span, it cries in sadness."
white-2,"It can see the future from the movement of the stars. When it learns its Trainer’s life span, it cries in sadness."
x,Starry skies thousands of light-years away are visible in the space distorted by their intense psychic power.
y,They can predict the future from the placement and movement of the stars. They can see Trainers’ life spans.
omega-ruby,Starry skies thousands of light-years away are visible in the space distorted by their intense psychic power.
alpha-sapphire,They can predict the future from the placement and movement of the stars. They can see Trainers’ life spans.
sword,"It has tremendous psychic power, but it dislikes conflict. It’s also able to predict the future based on the movement of the stars."
shield,A criminal who was shown his fate by a Gothitelle went missing that same day and was never seen again.
