Game,Flavor Text
gold,It carries food all day long. There are tales about lost people who were saved by the food it had.
silver,It nests at the edge of sharp cliffs. It spends all day carrying food to its await­ ing chicks.
crystal,"It always carries its food with it, wherever it goes. If attacked, it throws its food at the opponent."
ruby,DELIBIRD carries its food bundled up in its tail. There once was a famous explorer who managed to reach the peak of Mt. Everest thanks to one of these POKéMON sharing its food.
sapphire,DELIBIRD carries its food bundled up in its tail. There once was a famous explorer who managed to reach the peak of Mt. Everest thanks to one of these POKéMON sharing its food.
emerald,It carries food bundled up in its tail. There was a famous explorer who managed to scale Mt. Everest thanks to a DELIBIRD sharing its food.
firered,It nests at the edge of sharp cliffs. It spends all day carrying food to its awaiting chicks.
leafgreen,It carries food all day long. There are tales about lost people who were saved by the food it had.
diamond,It carries food rolled up in its tail. It has the habit of sharing food with people lost in mountains.
pearl,It carries food rolled up in its tail. It has the habit of sharing food with people lost in mountains.
platinum,It carries food rolled up in its tail. It has the habit of sharing food with people lost in mountains.
heartgold,It carries food all day long. There are tales about lost people who were saved by its stored food.
soulsilver,It nests at the edge of sharp cliffs. It spends all day carrying food to its awaiting chicks.
black,It carries food rolled up in its tail. It has the habit of sharing food with people lost in mountains.
white,It carries food rolled up in its tail. It has the habit of sharing food with people lost in mountains.
black-2,"It carries food all day long. When someone is lost in the mountains, it shares that food."
white-2,"It carries food all day long. When someone is lost in the mountains, it shares that food."
x,It carries food rolled up in its tail. It has the habit of sharing food with people lost in mountains.
y,"It carries food all day long. When someone is lost in the mountains, it shares that food."
omega-ruby,"Delibird carries its food bundled up in its tail. There once was a famous explorer who managed to reach the peak of the world’s highest mountain, thanks to one of these Pokémon sharing its food."
alpha-sapphire,"Delibird carries its food bundled up in its tail. There once was a famous explorer who managed to reach the peak of the world’s highest mountain, thanks to one of these Pokémon sharing its food."
sun,"Although it naturally prefers colder locales, Delibird in Alola seem able to withstand the heat to a certain extent."
moon,"It has a generous habit of sharing its food with people and Pokémon, so it’s always scrounging around for more food."
ultra-sun,"It shares its food with people who are stranded. Because Delibird is omnivorous, sometimes it gives those people bug Pokémon."
ultra-moon,It wraps food in its tail to carry it around. The Delibird with the biggest tail is the boss of the flock!
sword,It carries food all day long. There are tales about lost people who were saved by the food it had.
shield,"It has a generous habit of sharing its food with people and Pokémon, so it’s always scrounging around for more food."
