Game,Flavor Text
ruby,NUZLEAF live in densely overgrown forests. They occasionally venture out of the forest to startle people. This POKéMON dislikes having its long nose pinched.
sapphire,This POKéMON pulls out the leaf on its head and makes a flute with it. The sound of NUZLEAF’s flute strikes fear and uncertainty in the hearts of people lost in a forest.
emerald,A forest-dwelling POKéMON that is skilled at climbing trees. Its long and pointed nose is its weak point. It loses power if the nose is gripped.
firered,They live in holes bored in large trees. The sound of NUZLEAF’s grass flute fills listeners with dread.
leafgreen,They live in holes bored in large trees. The sound of NUZLEAF’s grass flute fills listeners with dread.
diamond,The sound of its grass flute makes its listeners uneasy. It lives deep in forests.
pearl,The sound of its grass flute makes its listeners uneasy. It lives deep in forests.
platinum,The sound of its grass flute makes its listeners uneasy. It lives deep in forests.
heartgold,"It lives deep in forests. With the leaf on its head, it makes a flute whose song makes listeners uneasy."
soulsilver,"It lives deep in forests. With the leaf on its head, it makes a flute whose song makes listeners uneasy."
black,The sound of its grass flute makes its listeners uneasy. It lives deep in forests.
white,The sound of its grass flute makes its listeners uneasy. It lives deep in forests.
black-2,The sound of its grass flute makes its listeners uneasy. It lives deep in forests.
white-2,The sound of its grass flute makes its listeners uneasy. It lives deep in forests.
x,The sound of its grass flute makes its listeners uneasy. It lives deep in forests.
y,"It lives deep in forests. With the leaf on its head, it makes a flute whose song makes listeners uneasy."
omega-ruby,Nuzleaf live in densely overgrown forests. They occasionally venture out of the forest to startle people. This Pokémon dislikes having its long nose pinched.
alpha-sapphire,This Pokémon pulls out the leaf on its head and makes a flute with it. The sound of Nuzleaf’s flute strikes fear and uncertainty in the hearts of people lost in a forest.
sword,"It lives deep in forests. With the leaf on its head, it makes a flute whose song makes listeners uneasy."
shield,They live in holes bored in large trees. The sound of Nuzleaf’s grass flute fills listeners with dread.
