Game,Flavor Text
red,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.
blue,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.
yellow,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.
gold,"It is doused with mushroom spores when it is born. As its body grows, mushrooms sprout from its back."
silver,"As its body grows large, oriental mushrooms named tochukaso start sprouting out of its back."
crystal,The tochukaso growing on this POKéMON's back orders it to extract juice from tree trunks.
ruby,PARAS has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from the BUG POKéMON host. They are highly valued as a medicine for extending life.
sapphire,PARAS has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this BUG POKéMON host. They are highly valued as a medicine for extending life.
emerald,A PARAS has parasitic tochukaso mushrooms growing on its back. They grow by drawing nutrients from the host. They are valued as a medicine for long life.
firered,Growing out of the bug’s back are mushrooms called tochukaso. The mushrooms grow with the bug host.
leafgreen,Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.
diamond,Mushrooms named tochukaso grow on its back. They grow along with the host PARAS.
pearl,Mushrooms named tochukaso grow on its back. They grow along with the host PARAS.
platinum,Mushrooms named tochukaso grow on its back. They grow along with the host PARAS.
heartgold,"It is doused with mushroom spores when it is born. As its body grows, mushrooms sprout from its back."
soulsilver,"As its body grows, large mushrooms named tochukaso start sprouting out of its back."
black,Mushrooms named tochukaso grow on its back. They grow along with the host Paras.
white,Mushrooms named tochukaso grow on its back. They grow along with the host Paras.
black-2,Mushrooms named tochukaso grow on its back. They grow along with the host Paras.
white-2,Mushrooms named tochukaso grow on its back. They grow along with the host Paras.
x,Growing out of the bug’s back are mushrooms called tochukaso. The mushrooms grow with the bug host.
y,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.
omega-ruby,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.
alpha-sapphire,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.
sun,"No matter how much it eats, the mushrooms growing on its back steal away most of the nutrients it consumes."
moon,Mushrooms called tochukaso sprout from its back. They can be dried and powdered to make a medicine used to extend life.
ultra-sun,"Whether it’s due to a lack of moisture or a lack of nutrients, in Alola the mushrooms on Paras don’t grow up quite right."
ultra-moon,"The mushrooms, known as tochukaso, are controlling the bug. Even if the bug bugs the mushrooms, they tell it to bug off."
lets-go-pikachu,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.
lets-go-eevee,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.
legends-arceus,Sometimes seen at the foot of trees in humid forests. The mushrooms on its back—called tochukaso—are not present on infant specimens and instead emerge as Paras matures.
