Game,Flavor Text
black,Its habitat is dark forests and caves. It emits ultrasonic waves from its nose to learn about its surroundings.
white,Suction from its nostrils enables it to stick to cave walls during sleep. It leaves a heart-shaped mark behind.
black-2,The heart-shaped mark left on a body after a Woobat has been attached to it is said to bring good fortune.
white-2,The heart-shaped mark left on a body after a Woobat has been attached to it is said to bring good fortune.
x,Its habitat is dark forests and caves. It emits ultrasonic waves from its nose to learn about its surroundings.
y,The heart-shaped mark left on a body after a Woobat has been attached to it is said to bring good fortune.
omega-ruby,Its habitat is dark forests and caves. It emits ultrasonic waves from its nose to learn about its surroundings.
alpha-sapphire,The heart-shaped mark left on a body after a Woobat has been attached to it is said to bring good fortune.
sword,"While inside a cave, if you look up and see lots of heart-shaped marks lining the walls, it’s evidence that Woobat live there."
shield,"It emits ultrasonic waves as it flutters about, searching for its prey—bug Pokémon."
