Game,Flavor Text
ruby,"MAWHILE’s huge jaws are actually steel horns that have been transformed. Its docile-looking face serves to lull its foe into letting down its guard. When the foe least expects it, MAWHILE chomps it with its gaping jaws."
sapphire,"Don’t be taken in by this POKéMON’s cute face - it’s very dangerous. MAWILE fools the foe into letting down its guard, then chomps down with its massive jaws. The steel jaws are really horns that have been transformed."
emerald,"Its giant jaws are actually steel horns that transformed. It fools foes into complacency with its adorable gestures, then chomps them with its huge jaws."
firered,"It uses its docile-looking face to lull foes into complacency, then bites with its huge, relentless jaws."
leafgreen,"It uses its docile-looking face to lull foes into complacency, then bites with its huge, relentless jaws."
diamond,Attached to its head is a huge set of jaws formed by horns. It can chew through iron beams.
pearl,Attached to its head is a huge set of jaws formed by horns. It can chew through iron beams.
platinum,Attached to its head is a huge set of jaws formed by horns. It can chew through iron beams.
heartgold,It chomps with its gaping mouth. Its huge jaws are actually steel horns that have been transformed.
soulsilver,It chomps with its gaping mouth. Its huge jaws are actually steel horns that have been transformed.
black,Attached to its head is a huge set of jaws formed by horns. It can chew through iron beams.
white,Attached to its head is a huge set of jaws formed by horns. It can chew through iron beams.
black-2,Attached to its head is a huge set of jaws formed by horns. It can chew through iron beams.
white-2,Attached to its head is a huge set of jaws formed by horns. It can chew through iron beams.
x,"It uses its docile-looking face to lull foes into complacency, then bites with its huge, relentless jaws."
y,Attached to its head is a huge set of jaws formed by horns. It can chew through iron beams.
omega-ruby,"Mawile’s huge jaws are actually steel horns that have been transformed. Its docile-looking face serves to lull its foe into letting down its guard. When the foe least expects it, Mawile chomps it with its gaping jaws."
alpha-sapphire,"Don’t be taken in by this Pokémon’s cute face—it’s very dangerous. Mawile fools the foe into letting down its guard, then chomps down with its massive jaws. The steel jaws are really horns that have been transformed."
ultra-sun,"A cunning and terrifying Pokémon, its cuteness makes opponents let down their guard—and then it swallows them whole with its huge jaws."
ultra-moon,"It has two mouths. The big jaws on the back of its head can’t taste anything, so that’s the mouth it uses to eat foods it doesn’t like."
sword,"It uses its docile-looking face to lull foes into complacency, then bites with its huge, relentless jaws."
shield,It chomps with its gaping mouth. Its huge jaws are actually steel horns that have been transformed.
