Game,Flavor Text
red,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use."
blue,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use."
yellow,"One claw grew massively and as hard as steel. It has 10,000-HP strength. However, it is too heavy."
gold,"It can hardly lift its massive, overgrown pincer. The pincer's size makes it difficult to aim properly."
silver,"Its pincers grow peculiarly large. If it lifts the pincers too fast, it loses its bal­ ance and staggers."
crystal,"Its oversized claw is very powerful, but when it's not in battle, the claw just gets in the way."
ruby,"KINGLER has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the POKéMON quickly tires."
sapphire,"KINGLER has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the POKéMON quickly tires."
emerald,"It waves its huge, oversized claw in the air to communicate with others. But since the claw is so heavy, this POKéMON quickly tires."
firered,"Its large and hard pincer has 10,000- horsepower strength. However, being so big, it is unwieldy to move."
leafgreen,"The large pincer has 10,000-horsepower crushing force. However, its huge size makes it unwieldy to use."
diamond,"The larger pincer has 10,000- horsepower strength. However, it is so heavy, it is difficult to aim."
pearl,"The larger pincer has 10,000- horsepower strength. However, it is so heavy, it is difficult to aim."
platinum,"The larger pincer has 10,000- horsepower strength. However, it is so heavy, it is difficult to aim."
heartgold,"It can hardly lift its massive, overgrown pincer. The pincer’s size makes it difficult to aim properly."
soulsilver,"Its pincers grow peculiarly large. If it lifts the pincers too fast, it loses its balance and staggers."
black,"The larger pincer has 10,000- horsepower strength. However, it is so heavy, it is difficult to aim."
white,"The larger pincer has 10,000- horsepower strength. However, it is so heavy, it is difficult to aim."
black-2,"The larger pincer has 10,000- horsepower strength. However, it is so heavy, it is difficult to aim."
white-2,"The larger pincer has 10,000- horsepower strength. However, it is so heavy, it is difficult to aim."
x,"Its large and hard pincer has 10,000-horsepower strength. However, being so big, it is unwieldy to move."
y,"Its pincers grow peculiarly large. If it lifts the pincers too fast, it loses its balance and staggers."
omega-ruby,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires."
alpha-sapphire,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires."
lets-go-pikachu,"One claw grew massively and is as hard as steel. It has 10,000-horsepower strength. However, it is too heavy."
lets-go-eevee,"One claw grew massively and is as hard as steel. It has 10,000-horsepower strength. However, it is too heavy."
sword,"Its large and hard pincer has 10,000-horsepower strength. However, being so big, it is unwieldy to move."
shield,"Its oversized claw is very powerful, but when it’s not in battle, the claw just gets in the way."
