Game,Flavor Text
red,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
blue,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
yellow,The gem in its forehead glows on its own! It walks with all the grace and elegance of a proud queen.
gold,"Many adore it for its sophisticated air. However, it will lash out and scratch for little reason."
silver,Its lithe muscles allow it to walk without making a sound. It attacks in an instant.
crystal,"Behind its lithe, elegant appearance lies a barbaric side. It will tear apart its prey on a mere whim."
ruby,PERSIAN has six bold whiskers that give it a look of toughness. The whiskers   sense air movements to determine what is in the POKéMON’s surrounding vicinity. It becomes docile if grabbed by the whiskers.
sapphire,PERSIAN has six bold whiskers that give it a look of toughness. The whiskers   sense air movements to determine what is in the POKéMON’s surrounding vicinity. It becomes docile if grabbed by the whiskers.
emerald,A PERSIAN’s six bold whiskers sense air movements to determine what is in its vicinity. It becomes docile if grabbed by the whiskers.
firered,Has a vicious temperament. Beware if it raises its tail straight up. It is a signal that it is about to pounce and bite.
leafgreen,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
diamond,"A very haughty Pokémon. Among fans, the size of the jewel in its forehead is a topic of much talk."
pearl,"A very haughty Pokémon. Among fans, the size of the jewel in its forehead is a topic of much talk."
platinum,"A very haughty Pokémon. Among fans, the size of the jewel in its forehead is a topic of much talk."
heartgold,"Many adore it for its sophisticated air. However, it will lash out and scratch for little reason."
soulsilver,Its lithe muscles allow it to walk without making a sound. It attacks in an instant.
black,"A very haughty Pokémon. Among fans, the size of the jewel in its forehead is a topic of much talk."
white,"A very haughty Pokémon. Among fans, the size of the jewel in its forehead is a topic of much talk."
black-2,"A very haughty Pokémon. Among fans, the size of the jewel in its forehead is a topic of much talk."
white-2,"A very haughty Pokémon. Among fans, the size of the jewel in its forehead is a topic of much talk."
x,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
y,Its lithe muscles allow it to walk without making a sound. It attacks in an instant.
omega-ruby,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.
alpha-sapphire,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.
sun,It has a violent temperament. It will attack anything that looks it in the eye. Its sharp claws inflict deep wounds.
moon,"It has a high opinion of itself, although not to the same extent as the Alolan Persian. It’s quite difficult to make friends with this Pokémon."
ultra-sun,"Although the jewel on its forehead appears to be a different color than those of Alolan Persian, it’s mostly made of the same material."
ultra-moon,This Pokémon is popular with rich people. It’s also targeted by hunters who are after the jewel in its forehead.
lets-go-pikachu,The gem in its forehead glows on its own! It walks with all the grace and elegance of a proud queen.
lets-go-eevee,The gem in its forehead glows on its own! It walks with all the grace and elegance of a proud queen.
sword,"Getting this prideful Pokémon to warm up to you takes a lot of effort, and it will claw at you the moment it gets annoyed."
shield,Its elegant and refined behavior clashes with that of the barbaric Perrserker. The relationship between the two is one of mutual disdain.
