Game,Flavor Text
black,"It touches others with the feelers on its ears, using the sound of their heartbeats to tell how they are feeling."
white,Its auditory sense is astounding. It has a radarlike ability to understand its surroundings through slight sounds.
black-2,"Using the feelers on its ears, it can tell how someone is feeling or when an egg might hatch."
white-2,"Using the feelers on its ears, it can tell how someone is feeling or when an egg might hatch."
x,"Using the feelers on its ears, it can tell how someone is feeling or when an egg might hatch."
y,"It touches others with the feelers on its ears, using the sound of their heartbeats to tell how they are feeling."
omega-ruby,"Using the feelers on its ears, it can tell how someone is feeling or when an egg might hatch."
alpha-sapphire,"It touches others with the feelers on its ears, using the sound of their heartbeats to tell how they are feeling."
sword,Audino’s sense of hearing is superb. Not even a pebble rolling along over a mile away will escape Audino’s ears.
shield,"This Pokémon has a kind heart. By touching with its feelers, Audino can gauge other creatures’ feelings and physical conditions."
