Game,Flavor Text
gold,Legends claim this POKéMON flies the world's skies con­ tinuously on its magnificent seven- colored wings.
silver,A legend says that its body glows in seven colors. A rainbow is said to form behind it when it flies.
crystal,It will reveal itself before a pure-hearted trainer by shining its bright rain­ bow-colored wings.
ruby,HO-OH’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This POKéMON is said to live at the foot of a rainbow.
sapphire,HO-OH’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This POKéMON is said to live at the foot of a rainbow.
emerald,Its feathers--which glow in seven colors depending on the angle at which they are struck by light--are thought to bring joy. It is said to live at the foot of a rainbow.
firered,A legend says that its body glows in seven colors. A rainbow is said to form behind it when it flies.
leafgreen,Legends claim this POKéMON flies the world’s skies continuously on its magnificent seven-colored wings.
diamond,Its feathers are in seven colors. It is said that anyone seeing it is promised eternal happiness.
pearl,Its feathers are in seven colors. It is said that anyone seeing it is promised eternal happiness.
platinum,Its feathers are in seven colors. It is said that anyone seeing it is promised eternal happiness.
heartgold,"Legends claim this Pokémon flies the world’s skies continuously on its magnificent, seven-colored wings."
soulsilver,A legend says that its body glows in seven colors. A rainbow is said to form behind it when it flies.
black,Its feathers are in seven colors. It is said that anyone seeing it is promised eternal happiness.
white,Its feathers are in seven colors. It is said that anyone seeing it is promised eternal happiness.
black-2,Its feathers are in seven colors. It is said that anyone seeing it is promised eternal happiness.
white-2,Its feathers are in seven colors. It is said that anyone seeing it is promised eternal happiness.
x,A legend says that its body glows in seven colors. A rainbow is said to form behind it when it flies.
y,"It will reveal itself before a pure-hearted Trainer by shining its bright, rainbow-colored wings."
omega-ruby,Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.
alpha-sapphire,Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.
