Game,Flavor Text
black,"By blasting water from its hooves, it can glide across water. It excels at using leg moves while battling."
white,"It crosses the world, running over the surfaces of oceans and rivers. It appears at scenic waterfronts."
black-2,"When it is resolute, its body fills with power and it becomes swifter. Its jumps are then too fast to follow."
white-2,"When it is resolute, its body fills with power and it becomes swifter. Its jumps are then too fast to follow."
x,"It crosses the world, running over the surfaces of oceans and rivers. It appears at scenic waterfronts."
y,"When it is resolute, its body fills with power and it becomes swifter. Its jumps are then too fast to follow."
omega-ruby,"It crosses the world, running over the surfaces of oceans and rivers. It appears at scenic waterfronts."
alpha-sapphire,"When it is resolute, its body fills with power and it becomes swifter. Its jumps are then too fast to follow."
sword,"Cobalion, Terrakion, and Virizion taught this Pokémon how to fight. It dashes across the world, seeking more opportunities to further its training."
shield,They say that Keldeo must survive harsh battles and fully develop the horn on its forehead before this Pokémon’s true power will awaken.
