Game,Flavor Text
red,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
blue,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
yellow,"Adored for their cute looks and playfulness. They are thought to be rare, as they do not appear often."
gold,The moonlight that it stores in the wings on its back apparently gives it the ability to float in midair.
silver,"Its adorable be­ havior and cry make it highly popular. However, this cute POKéMON is rarely found."
crystal,"Though rarely seen, it becomes easier to spot, for some reason, on the night of a  full moon."
ruby,"On every night of a full moon, groups of this POKéMON come out to play. When dawn arrives, the tired CLEFAIRY return to their quiet mountain retreats and go to sleep nestled up against each other."
sapphire,"On every night of a full moon, groups of this POKéMON come out to play. When dawn arrives, the tired CLEFAIRY return to their quiet mountain retreats and go to sleep nestled up against each other."
emerald,"On every night of a full moon, they come out to play. When dawn arrives, the tired CLEFAIRY go to sleep nestled up against each other in deep and quiet mountains."
firered,"Its adorable appearance makes it popular as a pet. However, it is rare and difficult to find."
leafgreen,"With its magical and cute appeal, it has  many admirers. It is rare and found only in certain areas."
diamond,"Thought to live with others on quiet mountains, it is popular for its adorable nature."
pearl,It flies using the wings on its back to collect moonlight. This Pokémon is difficult to find.
platinum,It is said that happiness will come to those who see a gathering of CLEFAIRY dancing under a full moon.
heartgold,The moonlight that it stores in the wings on its back apparently gives it the ability to float in midair.
soulsilver,"Its adorable behavior and cry make it highly popular. However, this cute Pokémon is rarely found."
black,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.
white,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.
black-2,"On nights with a full moon, Clefairy gather from all over and dance. Bathing in moonlight makes them float."
white-2,"On nights with a full moon, Clefairy gather from all over and dance. Bathing in moonlight makes them float."
x,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.
y,The moonlight that it stores in the wings on its back apparently gives it the ability to float in midair.
omega-ruby,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other."
alpha-sapphire,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other."
sun,"Its adorable behavior and appearance make it popular with men and women, young and old. Its numbers are few, however."
moon,"On nights with a full moon, they gather together and dance. The surrounding area is enveloped in an abnormal magnetic field."
ultra-sun,"They’re popular, but they’re rare. Trainers who show them off recklessly may be targeted by thieves."
shield,"Its adorable behavior and cry make it highly popular. However, this cute Pokémon is rarely found."
ultra-moon,"Bathed in moonlight, its wings glow faintly. Without even flapping, Clefairy rises into the air, where it dances around."
lets-go-pikachu,"Adored for their cute looks and playfulness. They are thought to be rare, as they do not appear often."
lets-go-eevee,"Adored for their cute looks and playfulness. They are thought to be rare, as they do not appear often."
sword,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.
legends-arceus,"It can be found in quiet mountain areas on a full moon's night. Its dancing and its tiny, faintly glowing wings confer upon it a lovely fairylike quality."
