Game,Flavor Text
red,The whole body is swathed with wide vines that are similar to sea­ weed. Its vines shake as it walks.
blue,The whole body is swathed with wide vines that are similar to sea­ weed. Its vines shake as it walks.
yellow,"Its identity is obscured by masses of thick, blue vines. The vines are said to never stop growing."
gold,The vines that cloak its entire body are always jiggling. They effectively un­ nerve its foes.
silver,It tangles any moving thing with its vines. Their subtle shaking is ticklish if you get ensnared.
crystal,"During battle, it constantly moves the vines that cover its body in order to annoy its opponent."
ruby,"TANGELA’s vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day."
sapphire,"TANGELA’s vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day."
emerald,"Its vines snap off easily and painlessly if they are grabbed, allowing it to make a quick getaway. The lost vines are replaced by new growth the very next day."
firered,Blue plant vines cloak the POKéMON’s identity in a tangled mass. It entangles anything that gets close.
leafgreen,The whole body is swathed with wide vines that are similar to seaweed. The vines sway as it walks.
diamond,It is shrouded by blue vines. No one has seen the face hidden behind this growth of vines.
pearl,It is shrouded by blue vines. No one has seen the face hidden behind this growth of vines.
platinum,The blue vines shrouding its body are covered in a growth of fine hair. It is known to be ticklish.
heartgold,The vines that cloak its entire body are always jiggling. They effectively unnerve its foes.
soulsilver,It tangles any moving thing with its vines. Their subtle shaking is ticklish if you get ensnared.
black,The blue vines shrouding its body are covered in a growth of fine hair. It is known to be ticklish.
white,The blue vines shrouding its body are covered in a growth of fine hair. It is known to be ticklish.
black-2,"Many writhing vines cover it, so its true identity remains unknown. The blue vines grow its whole life long."
white-2,"Many writhing vines cover it, so its true identity remains unknown. The blue vines grow its whole life long."
x,"Many writhing vines cover it, so its true identity remains unknown. The blue vines grow its whole life long."
y,It tangles any moving thing with its vines. Their subtle shaking is ticklish if you get ensnared.
omega-ruby,"Tangela’s vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day."
alpha-sapphire,"Tangela’s vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day."
lets-go-pikachu,Its identity is obscured by masses of thick blue vines. The vines are said to never stop growing.
lets-go-eevee,Its identity is obscured by masses of thick blue vines. The vines are said to never stop growing.
sword,"Hidden beneath a tangle of vines that grows nonstop even if the vines are torn off, this Pokémon’s true appearance remains a mystery."
shield,"The vines of a Tangela have a distinct scent. In some parts of Galar, Tangela vines are used as herbs."
legends-arceus,"It is cloaked entirely in blue vines, preventing any glimpse of its true identity. The vines impart a refreshing sensation when chewed—they're useful as a spice."
