Game,Flavor Text
gold,They say that it stays still and quiet because it is seeing both the past and future at the same time.
silver,"In South America, it is said that its right eye sees the future and its left eye views the past."
crystal,"Once it begins to meditate at sun­ rise, the entire day will pass before it will move again."
ruby,XATU stands rooted and still in one spot all day long. People believe that this POKéMON does so out of fear of the terrible things it has foreseen in the future.
sapphire,XATU is known to stand motionless while staring at the sun all day long. Some people revere it as a mystical POKéMON out of their belief that XATU is in possession of the power to see into the future.
emerald,It has the enigmatic power of foreseeing the future. Some people in different lands have long believed that XATU are emissaries from another world.
firered,"In South America, it is said that its right eye sees the future and its left eye views the past."
leafgreen,They say that it stays still and quiet because it is seeing both the past and future at the same time.
diamond,This odd Pokémon can see both the past and the future. It eyes the sun’s movement all day.
pearl,This odd Pokémon can see both the past and the future. It eyes the sun’s movement all day.
platinum,This odd Pokémon can see both the past and the future. It eyes the sun’s movement all day.
heartgold,They say that it stays still and quiet because it is seeing both the past and future at the same time.
soulsilver,"In South America, it is said that its right eye sees the future and its left eye views the past."
black,This odd Pokémon can see both the past and the future. It eyes the sun’s movement all day.
white,This odd Pokémon can see both the past and the future. It eyes the sun’s movement all day.
black-2,This odd Pokémon can see both the past and the future. It eyes the sun’s movement all day.
white-2,This odd Pokémon can see both the past and the future. It eyes the sun’s movement all day.
x,"Once it begins to meditate at sunrise, the entire day will pass before it will move again."
y,They say that it stays still and quiet because it is seeing both the past and future at the same time.
omega-ruby,Xatu stands rooted and still in one spot all day long. People believe that this Pokémon does so out of fear of the terrible things it has foreseen in the future.
alpha-sapphire,Xatu is known to stand motionless while staring at the sun all day long. Some people revere it as a mystical Pokémon out of their belief that Xatu is in possession of the power to see into the future.
ultra-sun,"It’s said that while this Pokémon has the power to predict the future, it’s not powerful enough to change the future it sees."
ultra-moon,"While it can see the future, it has no desire to change it, which is probably why it remains motionless at all times."
sword,They say that it stays still and quiet because it is seeing both the past and future at the same time.
shield,This odd Pokémon can see both the past and the future. It eyes the sun’s movement all day.
