Game,Flavor Text
leafgreen,The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.
red,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.
blue,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.
yellow,The powdery scales on its wings are hard to remove. They also contain poison that leaks out on contact.
gold,"When it attacks, it flaps its large wings violently to scatter its poi­ sonous powder all around."
silver,"The powder on its wings is poisonous if it is dark in color. If it is light, it causes paralysis."
crystal,"The scales it scatters will paralyze anyone who touches them, making that person unable to stand."
ruby,"VENOMOTH is nocturnal - it is a POKéMON that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness."
sapphire,"VENOMOTH is nocturnal - it is a POKéMON that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness."
emerald,"VENOMOTH are nocturnal--they only are active at night. Their favorite prey are insects that gather around streetlights, attracted by the light in the darkness."
firered,"The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust."
diamond,It flutters its wings to scatter dustlike scales. The scales leach toxins if they contact skin.
pearl,It flutters its wings to scatter dustlike scales. The scales leach toxins if they contact skin.
platinum,It flutters its wings to scatter dustlike scales. The scales leach toxins if they contact skin.
heartgold,"When it attacks, it flaps its large wings violently to scatter its poisonous powder all around."
soulsilver,"The powder on its wings is poisonous if it is dark in hue. If it is light in hue, it causes paralysis."
black,It flutters its wings to scatter dustlike scales. The scales leach toxins if they contact skin.
white,It flutters its wings to scatter dustlike scales. The scales leach toxins if they contact skin.
black-2,It flutters its wings to scatter dustlike scales. The scales leach toxins if they contact skin.
white-2,It flutters its wings to scatter dustlike scales. The scales leach toxins if they contact skin.
x,"The scales it scatters will paralyze anyone who touches them, making that person unable to stand."
y,"The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust."
omega-ruby,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness."
alpha-sapphire,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness."
lets-go-pikachu,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.
lets-go-eevee,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.
