Game,Flavor Text
red,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.
blue,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.
yellow,Capable of jumping incredibly high. Its hooves and sturdy legs absorb the impact of a hard landing.
gold,It is a weak run­ ner immediately after birth. It gradually becomes faster by chasing after its parents.
silver,"Its hind legs, which have hard­ er-than-diamond hooves, kick back at any presence it senses behind it."
crystal,Training by jumping over grass that grows longer every day has made it a world-class jumper.
ruby,PONYTA is very weak at birth. It can barely stand up. This POKéMON becomes stronger by stumbling and falling to keep up with its parent.
sapphire,PONYTA is very weak at birth. It can barely stand up. This POKéMON becomes stronger by stumbling and falling to keep up with its parent.
emerald,A PONYTA is very weak at birth. It can barely stand up. Its legs become stronger as it stumbles and falls while trying to keep up with its parent.
firered,"Its body is light, and its legs are incredibly powerful. It can clear Ayers Rock in one leap."
leafgreen,Its hooves are ten times harder than diamond. It can trample anything completely flat in little time.
diamond,"About an hour after birth, its fiery mane and tail grow out, giving it an impressive appearance."
pearl,Its legs grow strong while it chases after its parent. It runs in fields and mountains all day.
platinum,"As a newborn, it can barely stand. However, through galloping, its legs are made tougher and faster."
heartgold,It is a weak runner immediately after birth. It gradually becomes faster by chasing after its parents.
soulsilver,"Its hind legs, which have hooves that are harder than diamond, kick back at any presence it senses behind it."
black,"As a newborn, it can barely stand. However, through galloping, its legs are made tougher and faster."
white,"As a newborn, it can barely stand. However, through galloping, its legs are made tougher and faster."
black-2,"As a newborn, it can barely stand. However, through galloping, its legs are made tougher and faster."
white-2,"As a newborn, it can barely stand. However, through galloping, its legs are made tougher and faster."
x,"As a newborn, it can barely stand. However, through galloping, its legs are made tougher and faster."
y,Its legs grow strong while it chases after its parent. It runs in fields and mountains all day.
omega-ruby,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.
alpha-sapphire,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.
lets-go-pikachu,Capable of jumping incredibly high. Its hooves and sturdy legs absorb the impact of a hard landing.
lets-go-eevee,Capable of jumping incredibly high. Its hooves and sturdy legs absorb the impact of a hard landing.
sword,"It can’t run properly when it’s newly born. As it races around with others of its kind, its legs grow stronger."
shield,"If you’ve been accepted by Ponyta, its burning mane is mysteriously no longer hot to the touch."
legends-arceus,"These Pokémon live in herds out in the grassland. Newborn foals lack their fiery manes, which will develop about an hour after birth."
