Game,Flavor Text
black,"Its bite injects a potent poison, enough to paralyze large bird Pokémon that try to prey on it."
white,It discovers what is going on around it by using the feelers on its head and tail. It is brutally aggressive.
black-2,"Using the feelers on its head and tail, it picks up vibrations in the air to determine its prey’s location and state."
white-2,"Using the feelers on its head and tail, it picks up vibrations in the air to determine its prey’s location and state."
x,It discovers what is going on around it by using the feelers on its head and tail. It is brutally aggressive.
y,"Its bite injects a potent poison, enough to paralyze large bird Pokémon that try to prey on it."
omega-ruby,It discovers what is going on around it by using the feelers on its head and tail. It is brutally aggressive.
alpha-sapphire,"Its bite injects a potent poison, enough to paralyze large bird Pokémon that try to prey on it."
sword,"Venipede and Sizzlipede are similar species, but when the two meet, a huge fight ensues."
shield,"Its fangs are highly venomous. If this Pokémon finds prey it thinks it can eat, it leaps for them without any thought of how things might turn out."
