Game,Flavor Text
ruby,REGISTEEL has a body that is harder than any kind of metal. Its body is apparently hollow. No one has any idea what this POKéMON eats.
sapphire,REGISTEEL was imprisoned by people in ancient times. The metal composing its body is thought to be a curious substance that is not of this earth.
emerald,"Its body is harder than any other kind of metal. The body metal is composed of a mysterious substance. Not only is it hard, it shrinks and stretches flexibly."
firered,It is sturdier than any kind of metal. It hardened due to pressure underground over tens of thousands of years.
leafgreen,It is sturdier than any kind of metal. It hardened due to pressure underground over tens of thousands of years.
diamond,"Tempered by pressure underground over tens of thousands of years, its body cannot be scratched."
pearl,"Tempered by pressure underground over tens of thousands of years, its body cannot be scratched."
platinum,"Tempered by pressure underground over tens of thousands of years, its body cannot be scratched."
heartgold,Its body is said to be harder than any kind of metal. A study has revealed that its body is hollow.
soulsilver,Its body is said to be harder than any kind of metal. A study has revealed that its body is hollow.
black,"Tempered by pressure underground over tens of thousands of years, its body cannot be scratched."
white,"Tempered by pressure underground over tens of thousands of years, its body cannot be scratched."
black-2,"Tempered by pressure underground over tens of thousands of years, its body cannot be scratched."
white-2,"Tempered by pressure underground over tens of thousands of years, its body cannot be scratched."
x,"Tempered by pressure underground over tens of thousands of years, its body cannot be scratched."
y,Its body is said to be harder than any kind of metal. A study has revealed that its body is hollow.
omega-ruby,Registeel has a body that is harder than any kind of metal. Its body is apparently hollow. No one has any idea what this Pokémon eats.
alpha-sapphire,Registeel was imprisoned by people in ancient times. The metal composing its body is thought to be a curious substance that is not of this earth.
sword,Registeel’s body is made of a strange material that is flexible enough to stretch and shrink but also more durable than any metal.
shield,"It’s rumored that this Pokémon was born deep underground in the planet’s mantle and that it emerged onto the surface 10,000 years ago."
