Game,Flavor Text
sword,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
red,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
blue,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
yellow,Flaps its broad flower petals to scatter its poisonous pollen. The flapping sound is very loud.
gold,"It has the world's largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
silver,"The bud bursts into bloom with a bang. It then starts scattering allergenic, poi­ sonous pollen."
crystal,"By shaking its big petals, it scat­ ters toxic pollen into the air, turning the air yellow."
ruby,"VILEPLUME’s toxic pollen triggers atrocious allergy attacks. That’s why it is advisable never to approach any attractive flowers in a jungle, however pretty they may be."
sapphire,"VILEPLUME has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this POKéMON catches and devours them."
emerald,"In seasons when it produces more pollen, the air around a VILEPLUME turns yellow with the powder as it walks. The pollen is highly toxic and causes paralysis."
firered,Its petals are the largest in the world. It fiendishly scatters allergy-causing pollen from its petals.
leafgreen,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
diamond,"Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen."
pearl,"Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen."
platinum,"Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen."
heartgold,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
soulsilver,"The bud bursts into bloom with a bang. It then starts scattering allergenic, poisonous pollen."
black,"Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen."
white,"Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen."
black-2,"Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen."
white-2,"Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen."
x,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
y,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
omega-ruby,"Vileplume’s toxic pollen triggers atrocious allergy attacks. That’s why it is advisable never to approach any attractive flowers in a jungle, however pretty they may be."
alpha-sapphire,"Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them."
lets-go-pikachu,Flaps its broad flower petals to scatter its poisonous pollen. The flapping sound is very loud.
lets-go-eevee,Flaps its broad flower petals to scatter its poisonous pollen. The flapping sound is very loud.
shield,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
