Game,Flavor Text
red,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides."
blue,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides."
yellow,"When kicking, the sole of its foot turns as hard as a diamond on im­ pact and destroys its enemy."
gold,This amazing POKé­ MON has an awesome sense of balance. It can kick in succession from any position.
silver,"If it starts kick­ ing repeatedly, both legs will stretch even long­ er to strike a fleeing foe."
crystal,It is also called the Kick Master. It uses its elastic legs to execute every known kick.
ruby,"HITMONLEE’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue."
sapphire,"HITMONLEE’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue."
emerald,"Its legs freely stretch and contract. Using these springlike limbs, it bowls over foes with devastating kicks. After battle, it rubs down its tired legs."
firered,The legs freely contract and stretch. The stretchy legs allow it to hit a distant foe with a rising kick.
leafgreen,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra-long, loping strides."
diamond,Its legs can stretch double. First-time foes are startled by its extensible reach.
pearl,Its legs can stretch double. First-time foes are startled by its extensible reach.
platinum,Its legs can stretch double. First-time foes are startled by its extensible reach.
heartgold,This amazing Pokémon has an awesome sense of balance. It can kick in succession from any position.
soulsilver,"If it starts kicking repeatedly, both legs will stretch even longer to strike a fleeing foe."
black,Its legs can stretch double. First-time foes are startled by its extensible reach.
white,Its legs can stretch double. First-time foes are startled by its extensible reach.
black-2,Its legs can stretch double. First-time foes are startled by its extensible reach.
white-2,Its legs can stretch double. First-time foes are startled by its extensible reach.
x,The legs freely contract and stretch. The stretchy legs allow it to hit a distant foe with a rising kick.
y,"If it starts kicking repeatedly, both legs will stretch even longer to strike a fleeing foe."
omega-ruby,"Hitmonlee’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue."
alpha-sapphire,"Hitmonlee’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue."
lets-go-pikachu,"When kicking, the sole of its foot turns as hard as a diamond on impact and destroys its enemy."
lets-go-eevee,"When kicking, the sole of its foot turns as hard as a diamond on impact and destroys its enemy."
sword,This amazing Pokémon has an awesome sense of balance. It can kick in succession from any position.
shield,The legs freely contract and stretch. The stretchy legs allow it to hit a distant foe with a rising kick.
