Game,Flavor Text
red,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.
blue,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.
yellow,"When resting deep in its burrow, its thorns always retract. This is proof that it is relaxed."
gold,"When feeding its young, it first chews and tender­ izes the food, then spits it out for the offspring."
silver,"It has a calm and caring nature. Because its horn grows slowly, it prefers not to fight."
crystal,"It has a docile nature. If it is threatened with attack, it raises the barbs that are all over its body."
ruby,"When NIDORINA are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This POKéMON appears to become nervous if separated from the others."
sapphire,"When NIDORINA are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This POKéMON appears to become nervous if separated from the others."
emerald,"When it is with its friends or family, its barbs are tucked away to prevent injury. It appears to become nervous if separated from the others."
firered,The female has a gentle temperament. It emits ultrasonic cries that have the power to befuddle foes.
leafgreen,The female’s horns develop slowly. Prefers physical attacks such as clawing and biting.
diamond,"When it senses danger, it raises all the barbs on its body. These barbs grow slower than NIDORINO’s."
pearl,"When it senses danger, it raises all the barbs on its body. These barbs grow slower than NIDORINO’s."
platinum,"When it senses danger, it raises all the barbs on its body. These barbs grow slower than NIDORINO’s."
heartgold,"When feeding its young, it first chews the food into a paste, then spits it out for the offspring."
soulsilver,"It has a calm and caring nature. Because its horn grows slowly, it prefers not to fight."
black,"When it senses danger, it raises all the barbs on its body. These barbs grow slower than Nidorino’s."
white,"When it senses danger, it raises all the barbs on its body. These barbs grow slower than Nidorino’s."
black-2,"When it senses danger, it raises all the barbs on its body. These barbs grow slower than Nidorino’s."
white-2,"When it senses danger, it raises all the barbs on its body. These barbs grow slower than Nidorino’s."
x,The female has a gentle temperament. It emits ultrasonic cries that have the power to befuddle foes.
y,"When feeding its young, it first chews the food into a paste, then spits it out for the offspring."
omega-ruby,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others."
alpha-sapphire,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others."
lets-go-pikachu,"When resting deep in its burrow, its barbs always retract. This is proof that it is relaxed."
lets-go-eevee,"When resting deep in its burrow, its barbs always retract. This is proof that it is relaxed."
sword,The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.
shield,"If the group is threatened, these Pokémon will band together to assault enemies with a chorus of ultrasonic waves."
