Game,Flavor Text
ruby,BALTOY moves while spinning around on its one foot. Primitive wall paintings depicting this POKéMON living among people were discovered in some ancient ruins.
sapphire,"As soon as it spots others of its kind, BALTOY congregates with them and then begins crying noisily in unison. This POKéMON sleeps while cleverly balancing itself on its one foot."
emerald,A BALTOY moves by spinning on its single foot. It has been depicted in murals  adorning the walls of a once-bustling city in an ancient age.
firered,"It was discovered in ancient ruins. While moving, it constantly spins. It stands on one foot even when asleep."
leafgreen,"It was discovered in ancient ruins. While moving, it constantly spins. It stands on one foot even when asleep."
diamond,It moves by spinning on its foot. It is a rare Pokémon that was discovered in ancient ruins.
pearl,It moves by spinning on its foot. It is a rare Pokémon that was discovered in ancient ruins.
platinum,It moves by spinning on its foot. It is a rare Pokémon that was discovered in ancient ruins.
heartgold,It moves while spinning around on its single foot. Some BALTOY have been seen spinning on their heads.
soulsilver,It moves while spinning around on its single foot. Some BALTOY have been seen spinning on their heads.
black,It moves by spinning on its foot. It is a rare Pokémon that was discovered in ancient ruins.
white,It moves by spinning on its foot. It is a rare Pokémon that was discovered in ancient ruins.
black-2,"Discovered in ancient ruins, it moves by spinning around and forms a group when it finds others."
white-2,"Discovered in ancient ruins, it moves by spinning around and forms a group when it finds others."
x,It moves while spinning around on its single foot. Some Baltoy have been seen spinning on their heads.
y,It moves by spinning on its foot. It is a rare Pokémon that was discovered in ancient ruins.
omega-ruby,Baltoy moves while spinning around on its one foot. Primitive wall paintings depicting this Pokémon living among people were discovered in some ancient ruins.
alpha-sapphire,"As soon as it spots others of its kind, Baltoy congregates with them and then begins crying noisily in unison. This Pokémon sleeps while cleverly balancing itself on its one foot."
ultra-sun,Depictions of Pokémon similar to Baltoy have been found on the walls of caves where primitive humans lived.
ultra-moon,"When they find others of their kind, they cry out loudly and gather together. Large numbers of them can be found in old graveyards."
sword,It moves while spinning around on its single foot. Some Baltoy have been seen spinning on their heads.
shield,"It was discovered in ancient ruins. While moving, it constantly spins. It stands on one foot even when asleep."
