Game,Flavor Text
diamond,"A master of courtesy and swordsmanship, it fights using extending swords on its elbows."
pearl,"A master of courtesy and swordsmanship, it fights using extending swords on its elbows."
platinum,"When trying to protect someone, it extends its elbows as if they were swords and fights savagely."
heartgold,"Because it can sense what its foe is thinking, its attacks burst out first, fast, and fierce."
soulsilver,"Because it can sense what its foe is thinking, its attacks burst out first, fast, and fierce."
black,"When trying to protect someone, it extends its elbows as if they were swords and fights savagely."
white,"When trying to protect someone, it extends its elbows as if they were swords and fights savagely."
black-2,"When trying to protect someone, it extends its elbows as if they were swords and fights savagely."
white-2,"When trying to protect someone, it extends its elbows as if they were swords and fights savagely."
x,"Because it can sense what its foe is thinking, its attacks burst out first, fast, and fierce."
y,"A master of courtesy and swordsmanship, it fights using extending swords on its elbows."
omega-ruby,"Because it can sense what its foe is thinking, its attacks burst out first, fast, and fierce."
alpha-sapphire,"A master of courtesy and swordsmanship, it fights using extending swords on its elbows."
sword,"True to its honorable-warrior image, it uses the blades on its elbows only in defense of something or someone."
shield,"Sharply attuned to others’ wishes for help, this Pokémon seeks out those in need and aids them in battle."
legends-arceus,"The blades extending from its elbows are sharper than the finest swords. Its swordsmanship, albeit self-taught, is astonishingly impressive."
