Game,Flavor Text
gold,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames."
silver,"It has a secret, devastating move. It rubs its blaz­  ing fur together to cause huge explosions."
crystal,"When heat from its body causes the air around it to shimmer, this is a sign that it is ready to battle."
ruby,TYPHLOSION obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This POKéMON creates blazing explosive blasts that burn everything to cinders.
sapphire,TYPHLOSION obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This POKéMON creates blazing explosive blasts that burn everything to cinders.
emerald,It can hide behind a shimmering heat haze that it creates using its intense flames. TYPHLOSION create blazing explosive blasts that burn everything to cinders.
firered,"It has a secret, devastating move. It rubs its blazing fur together to cause huge explosions."
leafgreen,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames."
diamond,It attacks using blasts of fire. It creates heat shimmers with intense fire to hide itself.
pearl,It attacks using blasts of fire. It creates heat shimmers with intense fire to hide itself.
platinum,It attacks using blasts of fire. It creates heat shimmers with intense fire to hide itself.
heartgold,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames."
soulsilver,"It has a secret, devastating move. It rubs its blazing fur together to cause huge explosions."
black,It attacks using blasts of fire. It creates heat shimmers with intense fire to hide itself.
white,It attacks using blasts of fire. It creates heat shimmers with intense fire to hide itself.
black-2,It attacks using blasts of fire. It creates heat shimmers with intense fire to hide itself.
white-2,It attacks using blasts of fire. It creates heat shimmers with intense fire to hide itself.
x,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames."
y,"It has a secret, devastating move. It rubs its blazing fur together to cause huge explosions."
omega-ruby,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.
alpha-sapphire,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.
legends-arceus,"Said to purify lost, forsaken souls with its flames and guide them to the afterlife. I believe its form has been influenced by the energy of the sacred mountain towering at Hisui's center."
