Game,Flavor Text
gold,"When spotted, this POKéMON escapes backward by furi­ ously boring into the ground with its tail."
silver,"If spotted, it es­ capes by burrowing with its tail. It can float just slightly using its wings."
crystal,It hides deep inside caves where no light ever reaches it and remains virtually motionless there.
ruby,DUNSPARCE has a drill for its tail. It uses this tail to burrow into the ground backwards. This POKéMON is known to make its nest in complex shapes deep under the ground.
sapphire,DUNSPARCE has a drill for its tail. It uses this tail to burrow into the ground backwards. This POKéMON is known to make its nest in complex shapes deep under the ground.
emerald,Its drill-tipped tail is used to burrow into the ground backwards. This POKéMON is known to make its nest in complex shapes deep under the ground.
firered,"If spotted, it escapes by burrowing with its tail. It can hover just slightly using its wings."
leafgreen,"When spotted, this POKéMON escapes backward by furiously boring into the ground with its tail."
diamond,It digs into the ground with its tail and makes a mazelike nest. It can fly just a little.
pearl,It digs into the ground with its tail and makes a mazelike nest. It can fly just a little.
platinum,It digs into the ground with its tail and makes a mazelike nest. It can fly just a little.
heartgold,"When spotted, this Pokémon escapes backward by furiously boring into the ground with its tail."
soulsilver,"If spotted, it escapes by burrowing with its tail. It can float just slightly using its wings."
black,It digs into the ground with its tail and makes a mazelike nest. It can fly just a little.
white,It digs into the ground with its tail and makes a mazelike nest. It can fly just a little.
black-2,"It creates mazes in dark locations. When spotted, it flees into the ground by digging with its tail."
white-2,"It creates mazes in dark locations. When spotted, it flees into the ground by digging with its tail."
x,"When spotted, this Pokémon escapes backward by furiously boring into the ground with its tail."
y,It digs into the ground with its tail and makes a mazelike nest. It can fly just a little.
omega-ruby,Dunsparce has a drill for its tail. It uses this tail to burrow into the ground backward. This Pokémon is known to make its nest in complex shapes deep under the ground.
alpha-sapphire,Dunsparce has a drill for its tail. It uses this tail to burrow into the ground backward. This Pokémon is known to make its nest in complex shapes deep under the ground.
ultra-sun,It travels by digging through the ground. Diglett and Dunsparce share one another’s tunnels happily.
ultra-moon,"When it sees a person, it digs a hole with its tail to make its escape. If you happen to find one, consider yourself lucky."
sword,This Pokémon’s tiny wings have some scientists saying that Dunsparce used to fly through the sky in ancient times.
shield,The nests Dunsparce live in are mazes of tunnels. They never get lost in their own nests—they can tell where they are by the scent of the dirt.
