Game,Flavor Text
black,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
red,"A ferocious, pre­ historic POKéMON that goes for the enemy's throat with its serrated saw-like fangs."
blue,"A ferocious, pre­ historic POKéMON that goes for the enemy's throat with its serrated saw-like fangs."
yellow,A savage POKéMON that died out in ancient times. It was resurrected using DNA taken from amber.
gold,"A vicious POKéMON from the distant past, it appears to have flown by spreading its wings and gliding."
silver,This vicious POKé­ MON is said to have flown in an­ cient skies while shrieking high- pitched cries.
crystal,"In prehistoric times, this POKéMON flew freely and fearlessly through the skies."
ruby,AERODACTYL is a POKéMON from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.
sapphire,AERODACTYL is a POKéMON from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.
emerald,AERODACTYL is a POKéMON from the age of dinosaurs. It was regenerated from DNA extracted from amber. It is imagined to have been the king of the skies.
firered,It was regenerated from a dinosaur’s genetic matter that was found in amber. It flies with high-pitched cries.
leafgreen,"A ferocious, prehistoric POKéMON that goes for the enemy’s throat with its serrated, sawlike fangs."
diamond,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
pearl,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
platinum,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
heartgold,"A vicious Pokémon from the distant past, it appears to have flown by spreading its wings and gliding."
soulsilver,This vicious Pokémon is said to have flown in ancient skies while shrieking high-pitched cries.
white,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
black-2,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
white-2,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
x,It was regenerated from a dinosaur’s genetic matter that was found in amber. It flies with high-pitched cries.
y,This vicious Pokémon is said to have flown in ancient skies while shrieking high-pitched cries.
omega-ruby,Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.
alpha-sapphire,Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.
sun,A Pokémon from the age of the dinosaurs. It used its sawlike fangs to shred its prey before eating them.
moon,"In ancient times, it ruled the skies. A widely accepted theory is that it went extinct due to a large meteor impact."
ultra-sun,"Restored from DNA found in amber, this Pokémon exhibited ferocity that was greater than expected. Some casualties resulted."
ultra-moon,"It flew through the open skies over the ancient continent as if they were its own. When it touched ground, its walk was weak and slow."
lets-go-pikachu,A savage Pokémon that died out in ancient times. It was resurrected using DNA taken from amber.
lets-go-eevee,A savage Pokémon that died out in ancient times. It was resurrected using DNA taken from amber.
sword,This is a ferocious Pokémon from ancient times. Apparently even modern technology is incapable of producing a perfectly restored specimen.
shield,Aerodactyl’s sawlike fangs can shred skin to tatters—even the skin of Steel-type Pokémon.
