Game,Flavor Text
sword,Its long tail serves as a ground to protect itself from its own high-voltage power.
red,Its long tail serves as a ground to protect itself from its own high voltage power.
blue,Its long tail serves as a ground to protect itself from its own high voltage power.
yellow,"When electricity builds up inside its body, it becomes feisty. It also glows in the dark."
gold,"When its electric­ ity builds, its muscles are stimu­ lated, and it be­ comes more aggres­ sive than usual."
silver,"If the electric pouches in its cheeks become fully charged, both ears will stand straight up."
crystal,"If its electric pouches run empty, it raises its tail to gather electri­ city from the atmosphere."
ruby,"If the electrical sacks become excessively charged, RAICHU plants its tail in the ground and discharges. Scorched patches of ground will be found near this POKéMON’s nest."
sapphire,This POKéMON exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. RAICHU searches for electricity by planting its tail in the ground.
emerald,"If it stores too much electricity, its behavior turns aggressive. To avoid this, it occasionally discharges excess energy and calms itself down."
firered,"Its electric charges can reach even 100,000 volts. Careless contact can cause even an Indian elephant to faint."
leafgreen,Its long tail serves as a ground to protect itself from its own high-voltage power.
diamond,It turns aggressive if it has too much electricity in its body. It discharges power through its tail.
pearl,"It can loose 100,000-volt bursts of electricity, instantly downing foes several times its size."
platinum,"Its tail discharges electricity into the ground, protecting it from getting shocked."
heartgold,"When its electricity builds, its muscles are stimulated, and it becomes more aggressive than usual."
soulsilver,"If the electric pouches in its cheeks become fully charged, both ears will stand straight up."
black,"Its tail discharges electricity into the ground, protecting it from getting shocked."
white,"Its tail discharges electricity into the ground, protecting it from getting shocked."
black-2,"Its tail discharges electricity into the ground, protecting it from getting shocked."
white-2,"Its tail discharges electricity into the ground, protecting it from getting shocked."
x,"When its electricity builds, its muscles are stimulated, and it becomes more aggressive than usual."
y,"It can loose 100,000-volt bursts of electricity, instantly downing foes several times its size."
omega-ruby,"If the electrical sacs become excessively charged, Raichu plants its tail in the ground and discharges. Scorched patches of ground will be found near this Pokémon’s nest."
alpha-sapphire,This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.
sun,"It unleashes electric shocks that can reach 100,000 volts. When agitated, it can knock out even an Indian elephant."
moon,"It becomes aggressive when it has electricity stored up. At such times, even its Trainer has to take care to avoid being attacked."
ultra-sun,"As electricity builds up inside its body, it becomes more aggressive. One theory is that the electricity buildup is actually causing stress."
ultra-moon,"Because so many Trainers like the way Pikachu looks, you don’t see this Pokémon very often."
lets-go-pikachu,"When electricity builds up inside its body, it becomes feisty. It also glows in the dark."
lets-go-eevee,"When electricity builds up inside its body, it becomes feisty. It also glows in the dark."
shield,"If its electric pouches run empty, it raises its tail to gather electricity from the atmosphere."
legends-arceus,"It can discharge bursts of electricity exceeding 100,000 volts— a single strike with that amount of power would incapacitate one of the Copperajah of my homeland."
