Game,Flavor Text
red,"When several of these POKéMON gather, their electricity could build and cause lightning storms."
blue,"When several of these POKéMON gather, their electricity could build and cause lightning storms."
yellow,"It keeps its tail raised to monitor its surroundings. If you yank its tail, it will try to bite you."
gold,This intelligent POKéMON roasts hard BERRIES with electricity to make them tender enough to eat.
silver,It raises its tail to check its sur­ roundings. The tail is sometimes struck by light­ ning in this pose.
crystal,"When it is anger­ ed, it immediately discharges the energy stored in the pouches in its cheeks."
ruby,"Whenever PIKACHU comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it’s evidence that this POKéMON mistook the intensity of its charge."
sapphire,This POKéMON has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while PIKACHU sleeps. It occasionally discharges electricity when it is dozy after waking up.
emerald,"It stores electricity in the electric sacs on its cheeks. When it releases pent-up energy in a burst, the electric power is equal to a lightning bolt."
firered,"It has small electric sacs on both its cheeks. If threatened, it looses electric charges from the sacs."
leafgreen,"When several of these POKéMON gather, their electricity can build and cause lightning storms."
diamond,It lives in forests with others. It stores electricity in the pouches on its cheeks.
pearl,"If it looses crackling power from the electric pouches on its cheeks, it is being wary."
platinum,It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.
heartgold,This intelligent Pokémon roasts hard berries with electricity to make them tender enough to eat.
soulsilver,It raises its tail to check its surroundings. The tail is sometimes struck by lightning in this pose.
black,It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.
white,It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.
black-2,It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.
white-2,It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.
x,It raises its tail to check its surroundings. The tail is sometimes struck by lightning in this pose.
y,"It has small electric sacs on both its cheeks. If threatened, it looses electric charges from the sacs."
omega-ruby,"Whenever Pikachu comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it’s evidence that this Pokémon mistook the intensity of its charge."
alpha-sapphire,This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.
sun,A plan was recently announced to gather many Pikachu and make an electric power plant.
moon,It’s in its nature to store electricity. It feels stressed now and then if it’s unable to fully discharge the electricity.
ultra-sun,"Its nature is to store up electricity. Forests where nests of Pikachu live are dangerous, since the trees are so often struck by lightning."
ultra-moon,"While sleeping, it generates electricity in the sacs in its cheeks. If it’s not getting enough sleep, it will be able to use only weak electricity."
lets-go-pikachu,"This forest-dwelling Pokémon stores electricity in its cheeks, so you’ll feel a tingly shock if you touch it."
lets-go-eevee,"This forest-dwelling Pokémon stores electricity in its cheeks, so you’ll feel a tingly shock if you touch it."
sword,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
shield,"When Pikachu meet, they’ll touch their tails together and exchange electricity through them as a form of greeting."
legends-arceus,Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.
