Game,Flavor Text
black,"They never allow prey to escape. Their jaws are so powerful, they can crush the body of an automobile."
white,"It can expand the focus of its eyes, enabling it to see objects in the far distance as if it were using binoculars."
black-2,"Very violent Pokémon, they try to clamp down on anything that moves in front of their eyes."
white-2,"Very violent Pokémon, they try to clamp down on anything that moves in front of their eyes."
x,"Very violent Pokémon, they try to clamp down on anything that moves in front of their eyes."
y,"They never allow prey to escape. Their jaws are so powerful, they can crush the body of an automobile."
omega-ruby,"Very violent Pokémon, they try to clamp down on anything that moves in front of their eyes."
alpha-sapphire,"They never allow prey to escape. Their jaws are so powerful, they can crush the body of an automobile."
sun,"Its unique faculty of sight can detect small prey more than 30 miles away, even in the midst of a sandstorm."
moon,"After clamping down with its powerful jaws, it twists its body around to rip its prey in half."
ultra-sun,"When it spots prey, even at a distance of over 30 miles, it swims through the desert as if it were water, then jumps out and chomps them."
ultra-moon,It conceals itself in sandstorms that Flygon whip up and waits patiently for prey to appear.
sword,This Pokémon is known as the Bully of the Sands. Krookodile’s mighty jaws can bite through heavy plates of iron with almost no effort at all.
shield,"While terribly aggressive, Krookodile also has the patience to stay hidden under sand for days, lying in wait for prey."
