Game,Flavor Text
alpha-sapphire,"It drifts in warm seas. It always returns to where it was born, no matter how far it may have drifted."
diamond,A Pokémon that lives in warm seas. It inflates the flotation sac on its head to drift and search for food.
pearl,A Pokémon that lives in warm seas. It inflates the flotation sac on its head to drift and search for food.
platinum,"It drifts in warm seas. It always returns to where it was born, no matter how far it may have drifted."
heartgold,"When the water warms, they inflate the flotation sac on their heads and drift languidly on the sea in packs."
soulsilver,"When the water warms, they inflate the flotation sac on their heads and drift languidly on the sea in packs."
black,"It drifts in warm seas. It always returns to where it was born, no matter how far it may have drifted."
white,"It drifts in warm seas. It always returns to where it was born, no matter how far it may have drifted."
black-2,"It drifts in warm seas. It always returns to where it was born, no matter how far it may have drifted."
white-2,"It drifts in warm seas. It always returns to where it was born, no matter how far it may have drifted."
x,"When the water warms, they inflate the flotation sac on their heads and drift languidly on the sea in packs."
y,"It drifts in warm seas. It always returns to where it was born, no matter how far it may have drifted."
omega-ruby,"When the water warms, they inflate the flotation sac on their heads and drift languidly on the sea in packs."
legends-arceus,Can be seen floating offshore during seasons when the seas are warm. Its azure body blends in with the ocean waters—logic suggests this is a defense mechanism against natural predators.
