Game,Flavor Text
gold,The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.
silver,The bright light on its tail can be seen far away. It has been treasured since ancient times as a beacon.
crystal,"When it gets dark, the light from its bright, shiny tail can be seen from far away on the ocean's surface."
ruby,AMPHAROS gives off so much light that it can be seen even from space. People in the old days used the light of this POKéMON to send signals back and forth with others far away.
sapphire,AMPHAROS gives off so much light that it can be seen even from space. People in the old days used the light of this POKéMON to send signals back and forth with others far away.
emerald,It gives off so much light that it can be seen even from space. People in the old days used its light to send signals back and forth with others far away.
firered,The bright light on its tail can be seen far away. It has been treasured since ancient times as a beacon.
leafgreen,The tail’s tip shines brightly and can be seen from far away. It acts as a beacon for lost people.
diamond,"The tip of its tail shines brightly. In the olden days, people sent signals using the tail’s light."
pearl,"The tip of its tail shines brightly. In the olden days, people sent signals using the tail’s light."
platinum,"The tip of its tail shines brightly. In the olden days, people sent signals using the tail’s light."
heartgold,The tail’s tip shines brightly and can be seen from far away. It acts as a beacon for lost people.
soulsilver,The bright light on its tail can be seen far away. It has been treasured since ancient times as a beacon.
black,"The tip of its tail shines brightly. In the olden days, people sent signals using the tail’s light."
white,"The tip of its tail shines brightly. In the olden days, people sent signals using the tail’s light."
black-2,The tip of its tail shines so brightly it can be used to send sea-navigation beacons to distant foreign shores.
white-2,The tip of its tail shines so brightly it can be used to send sea-navigation beacons to distant foreign shores.
x,The tail’s tip shines brightly and can be seen from far away. It acts as a beacon for lost people.
y,The tail’s tip shines brightly and can be seen from far away. It acts as a beacon for lost people.
omega-ruby,Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away.
alpha-sapphire,Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away.
ultra-sun,"The light from its tail can be seen from space. This is why you can always tell exactly where it is, which is why it usually keeps the light off."
ultra-moon,Its tail shines bright and strong. It has been prized since long ago as a beacon for sailors.
