Game,Flavor Text
red,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.
blue,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.
yellow,An agile POKéMON that lives in trees. It angers easily and will not hesitate to attack anything.
gold,It is extremely ill-tempered. Groups of them will attack any handy target for no reason.
silver,It's unsafe to ap­ proach if it gets violently enraged for no reason and can't distinguish friends from foes.
crystal,"It lives in groups in the treetops. If it loses sight of its group, it becomes infuriated by its loneliness."
ruby,"When MANKEY starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath."
sapphire,"When MANKEY starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath."
emerald,"When it starts shaking and its nasal breathing turns rough, it’s a sure sign of anger. However, since this happens instantly, there is no time to flee."
firered,"Light and agile on its feet, and ferocious in temperament. When angered, it flies into an uncontrollable frenzy."
leafgreen,"Extremely quick to anger. It could be docile one moment, then thrashing away  the next instant."
diamond,"It lives in treetop colonies. If one becomes enraged, the whole colony rampages for no reason."
pearl,"It lives in treetop colonies. If one becomes enraged, the whole colony rampages for no reason."
platinum,"It lives in treetop colonies. If one becomes enraged, the whole colony rampages for no reason."
heartgold,It is extremely ill-tempered. Groups of them will attack any handy target for no reason.
soulsilver,It’s unsafe to approach if it gets violently enraged for no reason and can’t distinguish friends from foes.
black,"It lives in treetop colonies. If one becomes enraged, the whole colony rampages for no reason."
white,"It lives in treetop colonies. If one becomes enraged, the whole colony rampages for no reason."
black-2,"It lives in treetop colonies. If one becomes enraged, the whole colony rampages for no reason."
white-2,"It lives in treetop colonies. If one becomes enraged, the whole colony rampages for no reason."
x,It’s unsafe to approach if it gets violently enraged for no reason and can’t distinguish friends from foes.
y,"It lives in treetop colonies. If one becomes enraged, the whole colony rampages for no reason."
omega-ruby,"When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath."
alpha-sapphire,"When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath."
sun,"It can spontaneously become enraged. Everyone near it clears out as it rampages, and the resulting loneliness makes it angrier still."
moon,"Its raging tires it out and causes it to fall asleep, but the anger resonating in its dreams causes it to wake up—which infuriates it all over again."
ultra-sun,"The smallest of things could cause it to lose its temper. Because it doesn’t hold in its stress, this Pokémon can live a long time."
ultra-moon,"If one gets angry, all the others around it will get angry, so silence is a rare visitor in a troop of Mankey."
lets-go-pikachu,An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.
lets-go-eevee,An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.
