Game,Flavor Text
ruby,"NOSEPASS’s magnetic nose is always pointed to the north. If two of these POKéMON meet, they cannot turn their faces to each other when they are close because their magnetic noses repel one another."
sapphire,"NOSEPASS had been said to be completely unmoving, with its magnetic nose pointed due north. However, close observation has revealed that the POKéMON actually moves by a little over 3/8 of an inch every year."
emerald,Its body emits a powerful magnetism. It feeds on prey that is pulled in by the force. Its magnetism is stronger in cold seasons.
firered,Its magnetic nose consistently faces north. Travelers check NOSEPASS to get their bearings.
leafgreen,Its magnetic nose consistently faces north. Travelers check NOSEPASS to get their bearings.
diamond,"Its nose is a magnet. As a result, this Pokémon always keeps its face pointing north."
pearl,"Its nose is a magnet. As a result, this Pokémon always keeps its face pointing north."
platinum,"When endangered, it may protect itself by raising its magnetism and drawing iron objects to its body."
heartgold,"If two of these meet, they cannot get too close because their noses repel each other."
soulsilver,"If two of these meet, they cannot get too close because their noses repel each other."
black,"When endangered, it may protect itself by raising its magnetism and drawing iron objects to its body."
white,"When endangered, it may protect itself by raising its magnetism and drawing iron objects to its body."
black-2,Its magnetic nose always faces north and draws iron objects to its body to protect itself better.
white-2,Its magnetic nose always faces north and draws iron objects to its body to protect itself better.
x,Its magnetic nose always faces north and draws iron objects to its body to protect itself better.
y,Its magnetic nose consistently faces north. Travelers check Nosepass to get their bearings.
omega-ruby,"Nosepass’s magnetic nose is always pointed to the north. If two of these Pokémon meet, they cannot turn their faces to each other when they are close because their magnetic noses repel one another."
alpha-sapphire,"Nosepass had been said to be completely unmoving, with its magnetic nose pointed due north. However, close observation has revealed that the Pokémon actually moves by a little over 3/8 of an inch every year."
sun,"The magnet in Nosepass’s nose provides an unerring compass, making it an excellent partner for Trainers going on a journey."
moon,"It uses powerful magnetism to drag its prey toward it. It’s also been known to pull in metal, which it collects and uses to protect itself."
ultra-sun,"It moves less than an inch a year, but when it’s in a jam, it will spin and drill down into the ground in a split second."
ultra-moon,It hunts without twitching a muscle by pulling in its prey with powerful magnetism. But sometimes it pulls natural enemies in close.
legends-arceus,"Once the people of Hisui discovered that its red nose always points north, they grew to rely on it greatly when traveling afar. The nose seems to work in a similar way to ancient compasses."
