Game,Flavor Text
ultra-sun,You can tell how it’s feeling by the smoke spouting from its shell. Tremendous velocity is a sign of good health.
ruby,"TORKOAL digs through mountains in search of coal. If it finds some, it fills hollow spaces on its shell with the coal and burns it. If it is attacked, this POKéMON spouts thick black smoke to beat a retreat."
sapphire,"TORKOAL generates energy by burning coal. It grows weaker as the fire dies down. When it is preparing for battle, this POKéMON burns more coal."
emerald,"It battles using energy it gets from burning coal. When loosing smoke from its nostrils, it lets off a sound that is similar to a locomotive’s horn."
firered,"It burns coal inside its shell. If it is attacked, it belches thick, black smoke and flees."
leafgreen,"It burns coal inside its shell. If it is attacked, it belches thick, black smoke and flees."
diamond,It burns coal inside its shell for energy. It blows out black soot if it is endangered.
pearl,It burns coal inside its shell for energy. It blows out black soot if it is endangered.
platinum,It burns coal inside its shell for energy. It blows out black soot if it is endangered.
heartgold,You find abandoned coal mines full of them. They dig tirelessly in search of coal.
soulsilver,You find abandoned coal mines full of them. They dig tirelessly in search of coal.
black,It burns coal inside its shell for energy. It blows out black soot if it is endangered.
white,It burns coal inside its shell for energy. It blows out black soot if it is endangered.
black-2,It burns coal inside its shell for energy. It blows out black soot if it is endangered.
white-2,It burns coal inside its shell for energy. It blows out black soot if it is endangered.
x,You find abandoned coal mines full of them. They dig tirelessly in search of coal.
y,It burns coal inside its shell for energy. It blows out black soot if it is endangered.
omega-ruby,"Torkoal digs through mountains in search of coal. If it finds some, it fills hollow spaces on its shell with the coal and burns it. If it is attacked, this Pokémon spouts thick black smoke to beat a retreat."
alpha-sapphire,"Torkoal generates energy by burning coal. It grows weaker as the fire dies down. When it is preparing for battle, this Pokémon burns more coal."
sun,Coal is the source of Torkoal’s energy. Large amounts of coal can be found in the mountains where they live.
moon,"If the fire burning within its shell goes out, it will die. Those who wish to raise one in their home must always keep something flammable at hand."
ultra-moon,"It burns coal to produce energy. When it has burned through all of its coal, it becomes unable to move."
sword,It burns coal inside its shell for energy. It blows out black soot if it is endangered.
shield,You find abandoned coal mines full of them. They dig tirelessly in search of coal.
