Game,Flavor Text
red,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.
blue,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.
yellow,"According to an enduring legend, 9 noble saints were united and reincarnated as this POKéMON."
gold,Some legends claim that each of its nine tails has its own unique type of special mystical power.
silver,"Its nine beautiful tails are filled with a wondrous energy that could keep it alive for 1,000 years."
crystal,"It is said to live a thousand years, and each of its tails is loaded with supernatural powers."
ruby,NINETALES casts a sinister light from its bright red eyes to gain total control over its foe’s mind. This POKéMON is said to live for a thousand years.
sapphire,Legend has it that NINETALES came into being when nine wizards possessing sacred powers merged into one. This POKéMON is highly intelligent - it can understand human speech.
emerald,It has long been said that each of the nine tails embody an enchanted power. A long-lived NINETALES will have fur that shines like gold.
firered,"It has nine long tails and fur that  gleams gold. It is said to live for  1,000 years."
leafgreen,"Very smart and very vengeful. Grabbing one of its many tails could result in a 1,000-year curse."
diamond,Its nine tails are said to be imbued with a mystic power. It can live for a thousand years.
pearl,Its nine tails are said to be imbued with a mystic power. It can live for a thousand years.
platinum,Its nine tails are said to be imbued with a mystic power. It can live for a thousand years.
heartgold,Some legends claim that each of its nine tails has its own unique type of special mystical power.
soulsilver,"Its nine beautiful tails are filled with a wondrous energy that could keep it alive for 1,000 years."
black,Its nine tails are said to be imbued with a mystic power. It can live for a thousand years.
white,Its nine tails are said to be imbued with a mystic power. It can live for a thousand years.
black-2,"Each of its nine tails is imbued with supernatural power, and it can live for a thousand years."
white-2,"Each of its nine tails is imbued with supernatural power, and it can live for a thousand years."
x,"It has nine long tails and fur that gleams gold. It is said to live for 1,000 years."
y,"Very smart and very vengeful. Grabbing one of its many tails could result in a 1,000-year curse."
omega-ruby,Ninetales casts a sinister light from its bright red eyes to gain total control over its foe’s mind. This Pokémon is said to live for a thousand years.
alpha-sapphire,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.
sun,Legend has it that this mystical Pokémon was formed when nine saints coalesced into one.
moon,"Said to live for a thousand years, this Pokémon uses its supernatural abilities to manipulate fire. It can burn its prey to a crisp as it pleases."
ultra-sun,"It is vindictive and relentless by nature. Those who cross it even once will be cursed for a thousand years, along with their descendants."
ultra-moon,"The flickering flames it spews from its mouth leave its opponents hypnotized. Then, this extremely intelligent Pokémon attacks."
lets-go-pikachu,"According to an enduring legend, nine noble saints were united and reincarnated as this Pokémon."
lets-go-eevee,"According to an enduring legend, nine noble saints were united and reincarnated as this Pokémon."
sword,"It is said to live 1,000 years, and each of its tails is loaded with supernatural powers."
shield,"Very smart and very vengeful. Grabbing one of its many tails could result in a 1,000-year curse."
legends-arceus,The coat of gleaming golden fur is quite magnificent. This species is said to store sacred power in its nine long tails and to live for a millennium.
