Game,Flavor Text
red,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
blue,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
yellow,The heads attract each other and spin around. There must be 6 heads for it to maintain balance.
gold,"The shell is very durable. Even if it cracks, it can survive without spilling the contents."
silver,"Using telepathy only they can receive, they always form a cluster of six EXEGGCUTE."
crystal,"If even one is separated from the group, the energy bond between the six will make them rejoin instantly."
ruby,"This POKéMON consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, EXEGGCUTE is close to evolution."
sapphire,"This POKéMON consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, EXEGGCUTE is close to evolution."
emerald,"It consists of six eggs that care for each other. The eggs attract each other and spin around. When cracks increasingly appear, it is close to evolution."
firered,"Even though it appears to be eggs of some sort, it was discovered to be a life- form more like plant seeds."
leafgreen,"It is often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
diamond,Its six eggs converse using telepathy. They can quickly gather if they become separated.
pearl,Its six eggs converse using telepathy. They can quickly gather if they become separated.
platinum,Its six eggs converse using telepathy. They can quickly gather if they become separated.
heartgold,"Their shells are very durable. Even if they crack, they can survive without spilling their contents."
soulsilver,"Using telepathy only they can employ, they always form a cluster of six EXEGGCUTE."
black,Its six eggs converse using telepathy. They can quickly gather if they become separated.
white,Its six eggs converse using telepathy. They can quickly gather if they become separated.
black-2,Its six eggs converse using telepathy. They can quickly gather if they become separated.
white-2,Its six eggs converse using telepathy. They can quickly gather if they become separated.
x,Its six eggs converse using telepathy. They can quickly gather if they become separated.
y,"Even though it appears to be eggs of some sort, it was discovered to be a life-form more like plant seeds."
omega-ruby,"This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution."
alpha-sapphire,"This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution."
sun,Its six eggs use telepathy to communicate among themselves. It is believed to carry plant genes and the genes of other species.
moon,"Six of them together form a full-fledged Pokémon. It’s often hunted by Crabrawler, but uses psychokinesis to drive it off."
ultra-sun,"Six of them form a single Pokémon. Should one of the six be lost, the next morning there will once more be six."
ultra-moon,"Although they are the same size as other Exeggcute, the ones produced in Alola are quite heavy. Their shells are packed full."
lets-go-pikachu,The heads attract each other and spin around. There must be six heads for it to maintain balance.
lets-go-eevee,The heads attract each other and spin around. There must be six heads for it to maintain balance.
sword,"Though it may look like it’s just a bunch of eggs, it’s a proper Pokémon. Exeggcute communicates with others of its kind via telepathy, apparently."
shield,"These Pokémon get nervous when they’re not in a group of six. The minute even one member of the group goes missing, Exeggcute become cowardly."
