Game,Flavor Text
red,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
blue,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
yellow,"It may be mistaken for a clump of weeds. If you try to yank it out of the ground, it shrieks horribly."
gold,"Awakened by moon­ light, it roams  actively at night. In the day, it stays quietly underground."
silver,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds."
crystal,"During the day, it stays in the cold underground to avoid the sun. It grows by bath­ ing in moonlight."
ruby,"During the daytime, ODDISH buries itself in soil to absorb nutrients from  the ground using its entire body. The more fertile the soil, the glossier its leaves become."
sapphire,"ODDISH searches for fertile, nutrient- rich soil, then plants itself. During the daytime, while it is planted, this POKéMON’s feet are thought to change shape and become similar to the roots of trees."
emerald,"This POKéMON grows by absorbing moonlight. During the daytime, it buries itself in the ground, leaving only its leaves exposed to avoid detection by its enemies."
firered,"Its scientific name is “Oddium Wanderus.” At night, it is said to walk nearly 1,000 feet on its two roots."
leafgreen,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
diamond,It often plants its root feet in the ground during the day and sows seeds as it walks about at night.
pearl,It often plants its root feet in the ground during the day and sows seeds as it walks about at night.
platinum,It often plants its root feet in the ground during the day and sows seeds as it walks about at night.
heartgold,"Awakened by moonlight, it roams actively at night. In the day, it stays quietly underground."
soulsilver,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds."
black,It often plants its root feet in the ground during the day and sows seeds as it walks about at night.
white,It often plants its root feet in the ground during the day and sows seeds as it walks about at night.
black-2,It often plants its root feet in the ground during the day and sows seeds as it walks about at night.
white-2,It often plants its root feet in the ground during the day and sows seeds as it walks about at night.
x,"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight."
y,"Its scientific name is “Oddium Wanderus.” At night, it is said to walk nearly 1,000 feet on its two roots."
omega-ruby,"During the daytime, Oddish buries itself in soil to absorb nutrients from the ground using its entire body. The more fertile the soil, the glossier its leaves become."
alpha-sapphire,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees."
lets-go-pikachu,"It may be mistaken for a clump of weeds. If you try to yank it out of the ground, it shrieks horribly."
lets-go-eevee,"It may be mistaken for a clump of weeds. If you try to yank it out of the ground, it shrieks horribly."
sword,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds."
shield,"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight."
