Game,Flavor Text
red,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.
blue,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.
yellow,"Small and weak, this POKéMON is adept with its bone club. It has grown more vicious over the ages."
gold,It has been seen pounding boulders with the bone it carries in order to tap out mes­ sages to others.
silver,"It collects bones from an unknown place. A MAROWAK graveyard exists somewhere in the world, rumors say."
crystal,Somewhere in the world is a ceme­ tery just for MAROWAK. It gets its bones from those graves.
ruby,MAROWAK is the evolved form of a CUBONE that has overcome its sadness at the loss of its mother and grown tough. This POKéMON’s tempered and hardened spirit is not easily broken.
sapphire,MAROWAK is the evolved form of a CUBONE that has overcome its sadness at the loss of its mother and grown tough. This POKéMON’s tempered and hardened spirit is not easily broken.
emerald,A MAROWAK is the evolved form of a CUBONE that has grown tough by overcoming the grief of losing its mother. Its tempered and hardened spirit is not easily broken.
firered,It is small and was originally very weak. Its temperament turned ferocious when it began using bones.
leafgreen,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.
diamond,"From its birth, this savage Pokémon constantly holds bones. It is skilled in using them as weapons."
pearl,"From its birth, this savage Pokémon constantly holds bones. It is skilled in using them as weapons."
platinum,"From its birth, this savage Pokémon constantly holds bones. It is skilled in using them as weapons."
heartgold,It has been seen pounding boulders with the bone it carries in order to tap out messages to others.
soulsilver,It collects bones from an unknown place. Some whisper that a MAROWAK graveyard exists somewhere in the world.
black,"From its birth, this savage Pokémon constantly holds bones. It is skilled in using them as weapons."
white,"From its birth, this savage Pokémon constantly holds bones. It is skilled in using them as weapons."
black-2,"From its birth, this savage Pokémon constantly holds bones. It is skilled in using them as weapons."
white-2,"From its birth, this savage Pokémon constantly holds bones. It is skilled in using them as weapons."
x,It is small and was originally very weak. Its temperament turned ferocious when it began using bones.
y,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.
omega-ruby,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon’s tempered and hardened spirit is not easily broken.
alpha-sapphire,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon’s tempered and hardened spirit is not easily broken.
sun,"Originally, it was weak and timid. After evolution, its temperament becomes violent, and it begins to wield bones as weapons."
moon,"This Pokémon is out for vengeance on its natural enemy, Mandibuzz. It throws bones like boomerangs to try to take it down."
ultra-sun,It throws bones at Mandibuzz to knock it down. It’s thought that Marowak is trying to avenge its parent.
ultra-moon,They thump their bones rhythmically to communicate among themselves. There are nearly 50 different rhythmic patterns.
lets-go-pikachu,"Small and weak, this Pokémon is adept with its bone club. It has grown more vicious over the ages."
lets-go-eevee,"Small and weak, this Pokémon is adept with its bone club. It has grown more vicious over the ages."
sword,"This Pokémon overcame its sorrow to evolve a sturdy new body. Marowak faces its opponents bravely, using a bone as a weapon."
shield,"When this Pokémon evolved, the skull of its mother fused to it. Marowak’s temperament also turned vicious at the same time."
