Game,Flavor Text
diamond,There is an enduring legend that states this Pokémon towed continents with ropes.
pearl,There is an enduring legend that states this Pokémon towed continents with ropes.
platinum,"It is said to have made Pokémon that look like itself from a special ice mountain, rocks, and magma."
heartgold,"It is believed to have shaped REGIROCK, REGICE, and REGISTEEL out of clay, ice, and magma."
soulsilver,"It is believed to have shaped REGIROCK, REGICE, and REGISTEEL out of clay, ice, and magma."
black,"It is said to have made Pokémon that look like itself from a special ice mountain, rocks, and magma."
white,"It is said to have made Pokémon that look like itself from a special ice mountain, rocks, and magma."
black-2,"It is said to have made Pokémon that look like itself from a special ice mountain, rocks, and magma."
white-2,"It is said to have made Pokémon that look like itself from a special ice mountain, rocks, and magma."
x,"It is said to have made Pokémon that look like itself from a special ice mountain, rocks, and magma."
y,There is an enduring legend that states this Pokémon towed continents with ropes.
omega-ruby,"It is said to have made Pokémon that look like itself from a special ice mountain, rocks, and magma."
alpha-sapphire,There is an enduring legend that states this Pokémon towed continents with ropes.
sword,"All over the world, there are legends that tell of Regigigas creating other Pokémon in its own image."
shield,It’s said that Regigigas created other Pokémon from many different materials before it moved the continents to where they are today.
legends-arceus,"According to legend, Regigigas pulled landmasses together and bound them with rope to create the continent of Hisui. Though I have my doubts, the story could well contain a shred of truth."
