Game,Flavor Text
ruby,"CACNEA lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this POKéMON shoots sharp thorns from its body to bring the victim down."
sapphire,"The more arid and harsh the environment, the more pretty and fragrant a flower CACNEA grows. This POKéMON battles by wildly swinging its thorny arms."
emerald,"CACNEA live in deserts with virtually no rainfall. It battles by swinging its thick, spiked arms. Once a year, a yellow flower blooms."
firered,It prefers harsh environments such as deserts. It can survive for 30 days on water stored in its body.
leafgreen,It prefers harsh environments such as deserts. It can survive for 30 days on water stored in its body.
diamond,"By storing water in its body, this desert dweller can survive for 30 days without water."
pearl,"By storing water in its body, this desert dweller can survive for 30 days without water."
platinum,"By storing water in its body, this desert dweller can survive for 30 days without water."
heartgold,It lives in arid locations. Its yellow flowers bloom once a year.
soulsilver,It lives in arid locations. Its yellow flowers bloom once a year.
black,"By storing water in its body, this desert dweller can survive for 30 days without water."
white,"By storing water in its body, this desert dweller can survive for 30 days without water."
black-2,"By storing water in its body, this desert dweller can survive for 30 days without water."
white-2,"By storing water in its body, this desert dweller can survive for 30 days without water."
x,It lives in arid locations. Its yellow flowers bloom once a year.
y,It prefers harsh environments such as deserts. It can survive for 30 days on water stored in its body.
omega-ruby,"Cacnea lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this Pokémon shoots sharp thorns from its body to bring the victim down."
alpha-sapphire,"The more arid and harsh the environment, the more pretty and fragrant a flower Cacnea grows. This Pokémon battles by wildly swinging its thorny arms."
