Game,Flavor Text
ruby,LILEEP became extinct approximately a hundred million years ago. This ancient POKéMON attaches itself to a rock on the seafloor and catches approaching prey using tentacles  shaped like flower petals.
sapphire,"LILEEP is an ancient POKéMON that was regenerated from a fossil. It remains permanently anchored to a rock. From its immobile perch, this POKéMON intently scans for prey with its two eyes."
emerald,It disguises itself as seaweed by making its tentacles sway. Unsuspecting prey that come too close are swallowed whole. It became extinct 100 million years ago.
firered,It became extinct roughly 100 million years ago. It was regenerated from a fossil using advanced techniques.
leafgreen,It became extinct roughly 100 million years ago. It was regenerated from a fossil using advanced techniques.
diamond,It lived on the seafloor 100 million years ago and was reanimated scientifically.
pearl,It lived on the seafloor 100 million years ago and was reanimated scientifically.
platinum,It lived on the seafloor 100 million years ago and was reanimated scientifically.
heartgold,It disguises its tentacles as flowers to attract and catch prey. It became extinct in ancient times.
soulsilver,It disguises its tentacles as flowers to attract and catch prey. It became extinct in ancient times.
black,It lived on the seafloor 100 million years ago and was reanimated scientifically.
white,It lived on the seafloor 100 million years ago and was reanimated scientifically.
black-2,It lived on the seafloor 100 million years ago and was reanimated scientifically.
white-2,It lived on the seafloor 100 million years ago and was reanimated scientifically.
x,It disguises its tentacles as flowers to attract and catch prey. It became extinct in ancient times.
y,It lived on the seafloor 100 million years ago and was reanimated scientifically.
omega-ruby,Lileep became extinct approximately a hundred million years ago. This ancient Pokémon attaches itself to a rock on the seafloor and catches approaching prey using tentacles shaped like flower petals.
alpha-sapphire,"Lileep is an ancient Pokémon that was regenerated from a fossil. It remains permanently anchored to a rock. From its immobile perch, this Pokémon intently scans for prey with its two eyes."
ultra-sun,"In ancient times, it lived in warm seas. It disguised itself as seaweed to ambush its prey and devoured them whole when they got close."
ultra-moon,It sticks to rocks with its powerful suckers and can’t be washed away no matter how rough the surf gets.
sword,"This Pokémon was restored from a fossil. Lileep once lived in warm seas that existed approximately 100,000,000 years ago."
shield,"Lileep clings to rocks on the seabed. When prey comes close, this Pokémon entangles it with petallike tentacles."
