Game,Flavor Text
black,"When it tightens its belt, it becomes stronger. Wild Throh use vines to weave their own belts."
white,"When they encounter foes bigger than themselves, they try to throw them. They always travel in packs of five."
black-2,"When it encounters a foe bigger than itself, it wants to throw it. It changes belts as it gets stronger."
white-2,"When it encounters a foe bigger than itself, it wants to throw it. It changes belts as it gets stronger."
x,"When it tightens its belt, it becomes stronger. Wild Throh use vines to weave their own belts."
y,"When it encounters a foe bigger than itself, it wants to throw it. It changes belts as it gets stronger."
omega-ruby,"When it tightens its belt, it becomes stronger. Wild Throh use vines to weave their own belts."
alpha-sapphire,"When it encounters a foe bigger than itself, it wants to throw it. It changes belts as it gets stronger."
sword,"It performs throwing moves with first-rate skill. Over the course of many battles, Throh’s belt grows darker as it absorbs its wearer’s sweat."
shield,They train in groups of five. Any member that can’t keep up will discard its belt and leave the group.
