Game,Flavor Text
gold,It likes playing mischievous tricks such as screaming and wailing to startle people at night.
silver,"It loves to bite and yank people's hair from behind without warning, just to see their shocked reactions."
crystal,It loves to watch people it's scar­ ed. It frightens them by screaming loudly or appear­ ing suddenly.
ruby,"MISDREAVUS frightens people with a creepy, sobbing cry. The POKéMON apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition."
sapphire,"MISDREAVUS frightens people with a creepy, sobbing cry. The POKéMON apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition."
emerald,"A MISDREAVUS frightens people with a creepy, sobbing cry. It apparently uses its red spheres to absorb the fear of foes as its nutrition."
firered,"It loves to bite and yank people’s hair from behind without warning, just to see their shocked reactions."
leafgreen,It likes playing mischievous tricks such as screaming and wailing to startle people at night. 
diamond,"It loves to sneak up on people late at night, then startle them with its shrieklike cry."
pearl,"It gets nourishment from fear that it absorbs into its red orbs. In daytime, it sleeps in darkness."
platinum,A Pokémon that startles people in the middle of the night. It gathers fear as its energy.
heartgold,"It likes playing mischievous tricks, such as screaming and wailing to startle people at night."
soulsilver,"It loves to bite and yank people’s hair from behind without warning, just to see their shocked reactions."
black,A Pokémon that startles people in the middle of the night. It gathers fear as its energy.
white,A Pokémon that startles people in the middle of the night. It gathers fear as its energy.
black-2,A Pokémon that startles people in the middle of the night. It gathers fear as its energy.
white-2,A Pokémon that startles people in the middle of the night. It gathers fear as its energy.
x,"It gets nourishment from fear that it absorbs into its red orbs. In daytime, it sleeps in darkness."
y,"It likes playing mischievous tricks, such as screaming and wailing to startle people at night."
omega-ruby,"Misdreavus frightens people with a creepy, sobbing cry. The Pokémon apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition."
alpha-sapphire,"Misdreavus frightens people with a creepy, sobbing cry. The Pokémon apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition."
sun,It will use any means necessary to frighten people and absorb their life energy. It practices constantly to hone its skill in causing fear.
moon,"If you hear a sobbing sound emanating from a vacant room, it’s undoubtedly a bit of mischief from Misdreavus."
ultra-sun,"What gives meaning to its life is surprising others. If you set your ear against the red orbs around its neck, you can hear shrieking."
ultra-moon,What makes it happy is imitating the voices of weeping people and scaring everyone. It doesn’t deal well with folks who aren’t easily frightened.
legends-arceus,"It conceals itself in darkness, sending chills up travelers' spines with its childlike weeping. As it observes the frightened travelers with glee, the red orbs upon its chest let off an eerie light."
