Game,Flavor Text
diamond,It has eyes that can see through anything. It spots and captures prey hiding behind objects.
pearl,"When its eyes gleam gold, it can spot hiding prey--even those taking shelter behind a wall."
platinum,It can see clearly through walls to track down its prey and seek its lost young.
heartgold,LUXRAY’s ability to see through objects comes in handy when it’s scouting for danger.
soulsilver,LUXRAY’s ability to see through objects comes in handy when it’s scouting for danger.
black,It can see clearly through walls to track down its prey and seek its lost young.
white,It can see clearly through walls to track down its prey and seek its lost young.
black-2,It can see clearly through walls to track down its prey and seek its lost young.
white-2,It can see clearly through walls to track down its prey and seek its lost young.
x,"When its eyes gleam gold, it can spot hiding prey--even those taking shelter behind a wall."
y,Luxray’s ability to see through objects comes in handy when it’s scouting for danger.
omega-ruby,"When its eyes gleam gold, it can spot hiding prey—even those taking shelter behind a wall."
alpha-sapphire,Luxray’s ability to see through objects comes in handy when it’s scouting for danger.
sword,"Luxray can see through solid objects. It will instantly spot prey trying to hide behind walls, even if the walls are thick."
shield,"Seeing through solid objects uses up a lot of Luxray’s electricity, so the Pokémon sleeps for long periods of time to store up energy."
legends-arceus,"They form packs, each having one male as leader. Legends say that when Luxray's two eyes shimmer with gold, the Pokémon can see through anything."
