Game,Flavor Text
black,It is thought its body transformed as a result of iron accumulating internally from swallowing soil.
gold,"Its body has been compressed deep under the ground. As a result, it is even harder than a diamond."
silver,"It is said that if an ONIX lives for over 100 years, its composition changes to become diamond-like."
crystal,The many small metal particles that cover this POKéMON's body reflect bright light well.
ruby,STEELIX lives even further underground than ONIX. This POKéMON is known to dig towards the earth’s core. There are records of this POKéMON reaching a depth of over six-tenths of a mile underground.
sapphire,STEELIX lives even further underground than ONIX. This POKéMON is known to dig towards the earth’s core. There are records of this POKéMON reaching a depth of over six-tenths of a mile underground.
emerald,"STEELIX live even further underground than ONIX. This POKéMON is known to dig toward the earth’s core, reaching a depth of over six-tenths of a mile underground."
firered,"It is said that if an ONIX lives for over 100 years, its composition changes to become diamond-like."
leafgreen,"Its body has been compressed deep under the ground. As a result, it is even harder than diamond."
diamond,"Tempered underground under high pressure and heat, its body is harder than any metal."
pearl,It chews its way through boulders with its sturdy jaws. Its eyes can see in the darkness underground.
platinum,It is thought its body transformed as a result of iron accumulating internally from swallowing soil.
heartgold,"Its body has been compressed deep under the ground. As a result, it is even harder than a diamond."
soulsilver,"It’s said that if an ONIX lives for 100 years, its composition becomes diamondlike as it evolves into a STEELIX."
white,It is thought its body transformed as a result of iron accumulating internally from swallowing soil.
black-2,The iron it ingested with the soil it swallowed transformed its body and made it harder than diamonds.
white-2,The iron it ingested with the soil it swallowed transformed its body and made it harder than diamonds.
x,"Tempered underground under high pressure and heat, its body is harder than any metal."
y,It chews its way through boulders with its sturdy jaws. Its eyes can see in the darkness underground.
omega-ruby,Steelix lives even further underground than Onix. This Pokémon is known to dig toward the earth’s core. There are records of this Pokémon reaching a depth of over six-tenths of a mile underground.
alpha-sapphire,Steelix lives even further underground than Onix. This Pokémon is known to dig toward the earth’s core. There are records of this Pokémon reaching a depth of over six-tenths of a mile underground.
sword,"It is said that if an Onix lives for over 100 years, its composition changes to become diamond-like."
shield,It is thought its body transformed as a result of iron accumulating internally from swallowing soil.
legends-arceus,This Pokémon evolved through use of a strange item. Its body is coated with steel powder and notably hard—not even diamond can leave so much as a scratch.
