Game,Flavor Text
red,A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.
blue,A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.
yellow,A gentle and kind­ hearted POKéMON that shares its nutritious eggs if it sees an injured POKéMON.
gold,"It walks carefully to prevent its egg from breaking. However, it is extremely fast at running away."
silver,"Few in number and difficult to cap­ ture, it is said to bring happiness to the trainer who catches it."
crystal,"People try to catch it for its extremely nutritious eggs, but it rarely can be found."
ruby,"CHANSEY lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite."
sapphire,"CHANSEY lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite."
emerald,"CHANSEY lay nutritionally excellent eggs every day. The eggs are so delicious, they are eagerly devoured by even those people who have lost their appetite."
firered,It lays several eggs a day. The eggs are apparently rich in nutrients and extremely delicious.
leafgreen,A rare and elusive POKéMON that is said to bring happiness to those who manage to catch one.
diamond,"It is said to deliver happiness. Being compassionate, it shares its eggs with injured people."
pearl,It lays several eggs a day and won’t share them with those who have evil in their hearts.
platinum,A kindly Pokémon that lays highly nutritious eggs and shares them with injured Pokémon or people.
heartgold,"It walks carefully to prevent its egg from breaking. However, it is extremely fast at running away."
soulsilver,"Being few in number and difficult to capture, it is said to bring happiness to the Trainer who catches it."
black,A kindly Pokémon that lays highly nutritious eggs and shares them with injured Pokémon or people.
white,A kindly Pokémon that lays highly nutritious eggs and shares them with injured Pokémon or people.
black-2,A kindly Pokémon that lays highly nutritious eggs and shares them with injured Pokémon or people.
white-2,A kindly Pokémon that lays highly nutritious eggs and shares them with injured Pokémon or people.
x,"It is said to deliver happiness. Being compassionate, it shares its eggs with injured people."
y,It lays several eggs a day. The eggs are apparently rich in nutrients and extremely delicious.
omega-ruby,"Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite."
alpha-sapphire,"Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite."
sun,The eggs laid by Chansey are rich in nutrients and a favorite food of many Pokémon.
moon,"Not only are these Pokémon fast runners, they’re also few in number, so anyone who finds one must be lucky indeed."
ultra-sun,"It seems that other Pokémon’s efforts to take its delicious, nutritious egg away from it caused Chansey to get faster at fleeing."
ultra-moon,"Because the eggs on their bellies have been overharvested by people in the past, the Chansey population remains very small."
lets-go-pikachu,A gentle and kindhearted Pokémon that shares its nutritious eggs if it sees an injured Pokémon.
lets-go-eevee,A gentle and kindhearted Pokémon that shares its nutritious eggs if it sees an injured Pokémon.
sword,The egg Chansey carries is not only delicious but also packed with nutrition. It’s used as a high-class cooking ingredient.
shield,"This species was once very slow. To protect their eggs from other creatures, these Pokémon became able to flee quickly."
legends-arceus,This purehearted Pokémon shares its eggs with the injured.
