Game,Flavor Text
black,"It absorbs a spirit, which it then burns. By waving the flames on its arms, it puts its foes into a hypnotic trance."
white,"Being consumed in Chandelure’s flame burns up the spirit, leaving the body behind."
black-2,The spirits burned up in its ominous flame lose their way and wander this world forever.
white-2,The spirits burned up in its ominous flame lose their way and wander this world forever.
x,"Being consumed in Chandelure’s flame burns up the spirit, leaving the body behind."
y,The spirits burned up in its ominous flame lose their way and wander this world forever.
omega-ruby,"Being consumed in Chandelure’s flame burns up the spirit, leaving the body behind."
alpha-sapphire,The spirits burned up in its ominous flame lose their way and wander this world forever.
sword,This Pokémon haunts dilapidated mansions. It sways its arms to hypnotize opponents with the ominous dancing of its flames.
shield,"In homes illuminated by Chandelure instead of lights, funerals were a constant occurrence— or so it’s said."
