Game,Flavor Text
black,"Its internal fire burns at 2,500° F, making enough power that it can destroy a dump truck with one punch."
white,"When weakened in battle, it transforms into a stone statue. Then it sharpens its mind and fights on mentally."
black-2,"When one is injured in a fierce battle, it hardens into a stone-like form. Then it meditates and sharpens its mind."
white-2,"When one is injured in a fierce battle, it hardens into a stone-like form. Then it meditates and sharpens its mind."
x,"When one is injured in a fierce battle, it hardens into a stone-like form. Then it meditates and sharpens its mind."
y,"Its internal fire burns at 2,500 degrees Fahrenheit, making enough power that it can destroy a dump truck with one punch."
omega-ruby,"When one is injured in a fierce battle, it hardens into a stone-like form. Then it meditates and sharpens its mind."
alpha-sapphire,"Its internal fire burns at 2,500 degrees Fahrenheit, making enough power that it can destroy a dump truck with one punch."
sword,The thick arms of this hot-blooded Pokémon can deliver punches capable of obliterating a dump truck.
shield,"This Pokémon’s power level rises along with the temperature of its fire, which can reach 2,500 degrees Fahrenheit."
