Game,Flavor Text
gold,"Because of its unusual, star-like silhouette, people believe that it came here on a meteor."
silver,"When numerous me­ teors illuminate the night sky, sightings of CLEFFA strangely increase."
crystal,"If the impact site of a meteorite is found, this POKéMON is certain to be within the immediate area."
ruby,"On nights with many shooting stars, CLEFFA can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these POKéMON quench their thirst with the morning dew."
sapphire,"On nights with many shooting stars, CLEFFA can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these POKéMON quench their thirst with the morning dew."
emerald,"On nights with many shooting stars, CLEFFA can be seen dancing in a ring. They dance until daybreak, when they quench their thirst with the morning dew."
firered,"When numerous meteors illuminate the night sky, sightings of CLEFFA strangely increase."
leafgreen,"Because of its unusual, starlike silhouette, people believe that it came here on a meteor."
diamond,Its silhouette is like a star. It is believed to arrive riding on shooting stars.
pearl,Many appear when the night skies are filled with shooting stars. They disappear with sunrise.
platinum,It is often seen when shooting stars fill the night skies. It’s said to arrive riding on a shooting star.
heartgold,"Because of its unusual, starlike silhouette, people believe that it came here on a meteor."
soulsilver,"When numerous meteors illuminate the night sky, sightings of CLEFFA strangely increase."
black,It is often seen when shooting stars fill the night skies. It’s said to arrive riding on a shooting star.
white,It is often seen when shooting stars fill the night skies. It’s said to arrive riding on a shooting star.
black-2,"According to local rumors, Cleffa are often seen in places where shooting stars have fallen."
white-2,"According to local rumors, Cleffa are often seen in places where shooting stars have fallen."
x,"Because of its unusual, starlike silhouette, people believe that it came here on a meteor."
y,Many appear when the night skies are filled with shooting stars. They disappear with sunrise.
ultra-sun,"On nights with many shooting stars, they gather in packs and dance in circles. If you should see them, something good will happen!"
omega-ruby,"On nights with many shooting stars, Cleffa can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these Pokémon quench their thirst with the morning dew."
alpha-sapphire,"On nights with many shooting stars, Cleffa can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these Pokémon quench their thirst with the morning dew."
sun,"On late nights illuminated by shooting stars, it gazes intently skyward, as if thinking of its home."
moon,"Because of its silhouette, it’s believed to be a star reborn. For some reason, it loves Minior."
ultra-moon,"Said to have ridden here on a shooting star, Cleffa seem to appear in places where meteorites have struck in the past."
sword,"According to local rumors, Cleffa are often seen in places where shooting stars have fallen."
shield,"Because of its unusual, starlike silhouette, people believe that it came here on a meteor."
legends-arceus,"In silhouette, they resemble twinkling starlight. When shooting stars rain from the night sky, Cleffa gather in numbers and dance as though they are indeed incarnations of the stars."
