Game,Flavor Text
red,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright."
blue,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright."
yellow,A GENGAR is close by if you feel a sudden chill. It may be trying to lay a curse on you.
gold,"It steals heat from its surround­ ings. If you feel a sudden chill, it is certain that a GENGAR appeared."
silver,"To steal the life of its target, it slips into the prey's shadow and silently waits for an opportunity."
crystal,"Hiding in people's shadows at night, it absorbs their heat. The chill it causes makes the victims shake."
ruby,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a GENGAR running past you, pretending to be your shadow."
sapphire,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a GENGAR running past you, pretending to be your shadow."
emerald,"Deep in the night, your shadow cast by a streetlight may suddenly overtake you. It is actually a GENGAR running past you, pretending to be your shadow."
firered,It is said to emerge from darkness to steal the lives of those who become lost in mountains.
leafgreen,"On the night of a full moon, if shadows move on their own and laugh, it must be GENGAR’s doing."
diamond,"It hides in shadows. It is said that if GENGAR is hiding, it cools the area by nearly 10 degrees F."
pearl,"Lurking in the shadowy corners of rooms, it awaits chances to steal its prey’s life force."
platinum,The leer that floats in darkness belongs to a GENGAR delighting in casting curses on people.
heartgold,"It steals heat from its surroundings. If you feel a sudden chill, it is certain that a GENGAR appeared."
soulsilver,"To steal the life of its target, it slips into the prey’s shadow and silently waits for an opportunity."
black,The leer that floats in darkness belongs to a Gengar delighting in casting curses on people.
white,The leer that floats in darkness belongs to a Gengar delighting in casting curses on people.
black-2,The leer that floats in darkness belongs to a Gengar delighting in casting curses on people.
white-2,The leer that floats in darkness belongs to a Gengar delighting in casting curses on people.
x,"It hides in shadows. It is said that if Gengar is hiding, it cools the area by nearly 10 degrees Fahrenheit."
y,"Hiding in people’s shadows at night, it absorbs their heat. The chill it causes makes the victims shake."
omega-ruby,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow."
alpha-sapphire,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow."
sun,"Should you feel yourself attacked by a sudden chill, it is evidence of an approaching Gengar. There is no escaping it. Give up."
moon,"It apparently wishes for a traveling companion. Since it was once human itself, it tries to create one by taking the lives of other humans."
ultra-sun,You can hear tales told all over the world about how Gengar will pay a visit to children who are naughty.
ultra-moon,Even your home isn’t safe. Gengar will lurk in whatever dark corner of a room it can find and wait for its chance to catch its prey.
lets-go-pikachu,A Gengar is close by if you feel a sudden chill. It may be trying to lay a curse on you.
lets-go-eevee,A Gengar is close by if you feel a sudden chill. It may be trying to lay a curse on you.
sword,"On the night of a full moon, if shadows move on their own and laugh, it must be Gengar’s doing."
shield,It is said to emerge from darkness to steal the lives of those who become lost in mountains.
legends-arceus,"Possesses potential victims' shadows in an effort to steal away the victims' lives. If your shadow begins to laugh, you must take hold of a protective charm posthaste!"
