Game,Flavor Text
black,The energy made in its cheeks’ electric pouches is stored inside its membrane and released while it is gliding.
white,They live on treetops and glide using the inside of a cape-like membrane while discharging electricity.
black-2,It glides on its outstretched membrane while shocking foes with the electricity stored in the pouches on its cheeks.
white-2,It glides on its outstretched membrane while shocking foes with the electricity stored in the pouches on its cheeks.
x,They live on treetops and glide using the inside of a cape-like membrane while discharging electricity.
y,The energy made in its cheeks’ electric pouches is stored inside its membrane and released while it is gliding.
omega-ruby,They live on treetops and glide using the inside of a cape-like membrane while discharging electricity.
alpha-sapphire,The energy made in its cheeks’ electric pouches is stored inside its membrane and released while it is gliding.
sun,"It glides using its cape-like membrane. Electrical energy scatters from it, shocking its friends and foes alike."
moon,It grills berries and bug Pokémon with electric shocks and makes a meal of them. It usually nests in the holes gouged in trees by Pikipek.
ultra-sun,"They store up electricity to fly through the air. When thunder cracks at night, sometimes there are almost enough of them to blot out the sky."
ultra-moon,"As it flies, it scatters electricity around, so bird Pokémon keep their distance. That’s why Emolga can keep all its food to itself."
sword,"As Emolga flutters through the air, it crackles with electricity. This Pokémon is cute, but it can cause a lot of trouble."
shield,This Pokémon absolutely loves sweet berries. Sometimes it stuffs its cheeks full of so much food that it can’t fly properly.
