Game,Flavor Text
diamond,It lives in flower patches and avoids detection by curling up to look like a flowering plant.
pearl,It can dissolve toxins in the air to instantly transform ruined land into a lush field of flowers.
platinum,The flowers all over its body burst into bloom if it is lovingly hugged and senses gratitude.
heartgold,The blooming of Gracidea flowers confers the power of flight upon it. Feelings  of gratitude are the message it delivers.
soulsilver,The blooming of Gracidea flowers confers the power of flight upon it. Feelings  of gratitude are the message it delivers.
black,The flowers all over its body burst into bloom if it is lovingly hugged and senses gratitude.
white,The flowers all over its body burst into bloom if it is lovingly hugged and senses gratitude.
black-2,The flowers all over its body burst into bloom if it is lovingly hugged and senses gratitude.
white-2,The flowers all over its body burst into bloom if it is lovingly hugged and senses gratitude.
x,It can dissolve toxins in the air to instantly transform ruined land into a lush field of flowers.
y,The blooming of Gracidea flowers confers the power of flight upon it. Feelings of gratitude are the message it delivers.
omega-ruby,It can dissolve toxins in the air to instantly transform ruined land into a lush field of flowers.
alpha-sapphire,The blooming of Gracidea flowers confers the power of flight upon it. Feelings of gratitude are the message it delivers.
legends-arceus,"When the turning of seasons brings the cruel winter to its end and the joyous people give thanks to the heavens, Shaymin appears and covers the withered land with flowers."
