Game,Flavor Text
diamond,Known as “The Being of Willpower.” It sleeps at the bottom of a lake to keep the world in balance.
pearl,"It is thought that UXIE, MESPRIT and AZELF all came from the same egg."
platinum,"When AZELF flew, people gained the determination to do things. It was the birth of willpower."
heartgold,This Pokémon is said to have endowed humans with the determination needed to face any of life’s difficulties.
soulsilver,This Pokémon is said to have endowed humans with the determination needed to face any of life’s difficulties.
black,"When Azelf flew, people gained the determination to do things. It was the birth of willpower."
white,"When Azelf flew, people gained the determination to do things. It was the birth of willpower."
black-2,"When Azelf flew, people gained the determination to do things. It was the birth of willpower."
white-2,"When Azelf flew, people gained the determination to do things. It was the birth of willpower."
x,Known as “The Being of Willpower.” It sleeps at the bottom of a lake to keep the world in balance.
y,"It is thought that Uxie, Mesprit, and Azelf all came from the same egg."
omega-ruby,Known as “The Being of Willpower.” It sleeps at the bottom of a lake to keep the world in balance.
alpha-sapphire,"It is thought that Uxie, Mesprit, and Azelf all came from the same egg."
legends-arceus,The dreaded Being of Willpower. Legends tell of this Pokémon manipulating the will of its adversaries and turning them into puppets of its own.
